Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Chhattisgarh,CG,Durg,Durg,Konari,CG08DRG0928,21.109092320000002,81.26637482,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.48798066,14879.806635207196,527.4868860824175,No,No,No,No,Konari,NWIC,3069,3069,21377.0,22,378,3317,442611,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,527.4868860824175,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Konari,CG08DRG0929,21.11248892,81.2601905,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.20037324,12003.732404944194,436.43918912099696,No,No,No,No,Konari,NWIC,3070,3070,21378.0,22,378,3317,442611,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,436.43918912099696,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Konari,CG08DRG0930,21.11407521,81.26364035,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.72599147,17259.914694677987,493.4280184318494,No,No,No,No,Konari,NWIC,3071,3071,21379.0,22,378,3317,442611,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,493.4280184318494,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Rasmada,CG08DRG0931,21.2001615,81.20301001,Mahanadi,Mahanadi Upper,Tandula,Ponds,2.31433316,23143.331561208874,573.0830783533906,No,No,No,No,Rasmada,NWIC,3072,3072,21380.0,22,378,3317,442582,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,573.0830783533906,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Rasmada,CG08DRG0932,21.18934844,81.21328665,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.01386074,10138.607434794547,392.7499166846926,No,No,No,No,Rasmada,NWIC,3073,3073,21381.0,22,378,3317,442582,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,392.7499166846926,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Khapri,CG08DRG0933,21.18512088,81.21013531,Mahanadi,Mahanadi Upper,Tandula,Ponds,6.64231192,66423.11920543955,987.3057963517349,No,No,No,No,Khapri,NWIC,3074,3074,21382.0,22,378,3317,442584,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,987.3057963517349,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Chandkhuri,CG08DRG0934,21.124493440000002,81.26845269,Mahanadi,Mahanadi Upper,Tandula,Ponds,1.13215436,11321.543557591045,444.6482722046562,No,No,No,No,Chandkhuri,NWIC,3075,3075,21383.0,22,378,3317,442610,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,444.6482722046562,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Chandkhuri,CG08DRG0935,21.12436672,81.27189228,Mahanadi,Mahanadi Upper,Tandula,Ponds,3.27254379,32725.43791086602,717.1125663754718,No,No,No,No,Chandkhuri,NWIC,3076,3076,21384.0,22,378,3317,442610,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,717.1125663754718,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Chandkhuri,CG08DRG0936,21.12611879,81.27210047999999,Mahanadi,Mahanadi Upper,Tandula,Ponds,2.59187837,25918.783686006802,627.4950759668096,No,No,No,No,Chandkhuri,NWIC,3077,3077,21385.0,22,378,3317,442610,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,627.4950759668096,District Water Body Atlas
Phase 1,Chhattisgarh,CG,Durg,Durg,Chandkhuri,CG08DRG0937,21.12764142,81.2730895,Mahanadi,Mahanadi Upper,Tandula,Ponds,3.84327937,38432.793725946874,882.1744770146481,No,No,No,No,Chandkhuri,NWIC,3078,3078,21386.0,22,378,3317,442610,08,08,MAU,MAU,WS08MAU009,,01,,,,,,,,0.0,0.0,,,,,,0,882.1744770146481,District Water Body Atlas
