SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,River Water Level (m),Area (m2),Velocity (m/sec),Total_discharge (m3/sec)
31,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-11-09 09:00:00,-0.9,1172.305,0.71180004,480.2108
32,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-12-09 08:00:00,0.7,,,300.655
33,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-13 09:00:00,0.25,1254.08,0.62108755,405.89453
34,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-14 09:00:00,0.85,1522.9,0.92951,951.63257
35,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-15 09:00:00,0.7,1495.64,0.56666005,525.4668
36,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-16 09:00:00,0.099999994,1436.4,0.45780498,446.64825
37,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-17 09:00:00,-0.24999999,1386.975,0.42152002,401.47104
38,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-18 09:00:00,-1.0,1366.7,0.385235,371.3025
39,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-19 08:00:00,-1.2,,,507.699
40,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-20 09:00:00,-1.6,1347.8,0.34895,306.74203
41,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-21 09:00:00,-1.4000001,1329.88,0.34895,276.20694
42,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-22 09:00:00,-1.6,1288.8,0.385235,318.60367
43,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-23 09:00:00,-1.35,1295.36,0.385235,344.7977
44,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-24 09:00:00,-1.35,1290.75,0.34895,315.9341
45,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-25 09:00:00,-0.79999995,1313.2,0.4033775,357.41965
46,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-26 08:00:00,-0.8,,,607.662
47,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-27 09:00:00,-0.9,1308.61,0.385235,337.90952
48,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-28 09:00:00,-0.54999995,1314.14,0.4396625,391.49814
49,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-29 09:00:00,0.4,1320.0,0.53037506,478.4441
50,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-30 09:00:00,-0.59999996,1311.65,0.4033775,330.94043
51,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-01-10 09:00:00,-0.70000005,1292.09,0.385235,302.22424
52,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-03-10 08:00:00,-1.0,,,495.392
53,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-04-10 09:00:00,-1.45,1215.62,0.34895,303.2781
54,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-05-10 09:00:00,-1.95,1204.46,0.34895,270.1762
55,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-06-10 09:00:00,-2.15,1188.6,0.34895,255.4545
56,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-07-10 09:00:00,-2.2,1221.35,0.385235,334.7664
57,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-08-10 09:00:00,-2.1,1211.31,0.45780498,404.46103
58,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-09-10 09:00:00,-2.0500002,1215.78,0.4396625,376.15067
59,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-10 08:00:00,0.45,,,637.452
60,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-11-10 09:00:00,0.099999994,1334.55,0.56666005,503.1918
61,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-12-10 09:00:00,0.6,1344.5599,0.62108755,535.35175
62,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-13 09:00:00,-0.15,1326.74,0.53037506,458.74417
63,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-14 09:00:00,0.55,1326.52,0.4759475,418.40192
64,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-16 09:00:00,0.049999997,1207.39,0.3670925,286.31314
65,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-17 08:00:00,-2.6,,,450.472
66,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-18 09:00:00,-0.6,1206.18,0.385235,316.79303
67,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-20 09:00:00,-1.8000001,1200.42,0.34895,255.1886
68,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-21 09:00:00,-2.3,1134.98,0.312665,241.53886
69,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-22 09:00:00,-2.2,1226.65,0.4033775,360.50406
70,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-23 09:00:00,-2.3,1215.78,0.385235,314.69113
71,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-24 08:00:00,-0.35,,,814.984
72,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-25 09:00:00,-0.90000004,1173.22,0.4396625,321.01575
73,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-26 09:00:00,-0.4,1315.51,0.42152002,386.49808
74,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-27 09:00:00,-0.10000001,1320.07,0.4396625,386.77124
75,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-28 09:00:00,0.25,1315.51,0.42152002,373.22412
76,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-29 09:00:00,-0.049999997,1320.26,0.42152002,370.52563
77,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-30 09:00:00,0.25,1315.24,0.4033775,360.82565
78,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-10-31 08:00:00,-2.1,,,420.461
79,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-11-27 09:00:00,0.35,1333.88,0.2219525,169.43715
80,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-11-29 08:15:00,0.15,1295.21,0.20381002,171.19202
81,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-11-30 08:15:00,-0.45000002,932.0,0.2219525,125.976845
82,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-01-12 08:15:00,-0.8,985.7,0.20381002,116.471214
83,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2021-07-12 08:15:00,-1.7,852.5,0.13124001,53.12762
84,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-15 09:00:00,-0.45,1295.796,0.48799998,389.0239
85,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-16 09:00:00,-1.35,1446.3931,0.40629998,382.50772
86,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-19 09:00:00,0.0,1331.4985,0.48799998,412.6636
87,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-20 09:00:00,-0.4,1269.6061,0.48799998,370.95642
88,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-21 09:00:00,0.25,1257.3076,0.52068,368.75537
89,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-22 09:00:00,0.25,1254.5746,0.48799998,354.2375
90,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-23 09:00:00,-0.3,1279.222,0.38996,286.59924
91,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-25 09:00:00,-1.15,1533.0205,0.58603996,486.22842
92,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-26 09:00:00,-1.4,1481.3041,0.48799998,404.9899
93,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-27 09:00:00,-1.9,1376.1556,0.38996,328.40204
94,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-28 09:00:00,-1.9000001,1363.1376,0.35728,308.55878
95,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-29 09:00:00,-2.05,1255.4756,0.32459998,264.36975
96,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-07-30 09:00:00,-1.1500001,1421.4799,0.35728,347.91937
97,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-19 09:00:00,-0.3,1524.6807,0.41420248,411.147
98,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-21 09:00:00,-1.3,1395.3301,0.3425325,296.34882
99,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-22 09:00:00,-2.25,1268.8285,0.324615,221.61182
100,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-25 09:00:00,-1.9,1308.0557,0.36045,268.0533
101,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-26 09:00:00,-2.1,1286.1586,0.36045,253.98088
102,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-27 09:00:00,-1.8000001,1327.2731,0.36045,276.5114
103,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-28 09:00:00,-1.3,1395.3301,0.37836748,302.12076
104,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2022-10-29 09:00:00,-0.49999997,1516.6871,0.37836748,345.53854
105,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-05-08 09:00:00,-1.2,1229.081,0.338,262.886
106,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-07-08 09:00:00,0.45,1377.612,0.406,320.181
107,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-08 09:00:00,0.5,1581.858,0.509,472.637
108,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-08 09:00:00,0.45,1444.524,0.424,374.762
109,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-10-08 09:00:00,0.4,1419.921,0.424,354.859
110,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-11-08 09:00:00,0.0,1349.276,0.389,288.055
111,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-12-08 09:00:00,-0.5,1311.185,0.338,255.429
112,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-16 09:00:00,-1.35,1326.188,0.389,325.572
113,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-17 09:00:00,-1.7,1170.07,0.441,321.568
114,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-18 09:00:00,-1.2,1236.113,0.492,368.063
115,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-19 09:00:00,-0.4,1336.622,0.509,443.628
116,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-21 09:00:00,-0.4,1336.622,0.509,433.52
117,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-22 09:00:00,0.3,1450.236,0.595,542.53
118,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-23 09:00:00,,1401.959,0.561,476.998
