SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
44,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-17 08:30:00,4.463
45,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-18 08:30:00,3.338
46,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-19 08:30:00,3.559
47,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-20 08:30:00,2.223
48,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-21 08:30:00,1.911
49,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-22 08:30:00,1.692
50,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-23 08:30:00,0.0
51,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-24 08:30:00,0.0
52,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-25 08:30:00,0.0
53,Example-NSWDC,"National Institute of Hydrology, Roorkee",27,Maharashtra,484,Nagpur,HINGNA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.73416667,80.17666667,2011-12-26 08:30:00,0.0
