id,objectid,state,stcode,district,dtcode,shape_length,shape_area,ds_name,src_agency,state_name
305,305,KL,32,Kottayam,560,318899.53825422336,2252606786.318728,Administrative Boundary,Survey of India (SOI),Kerala
306,306,KL,32,Kozhikode,561,293649.8820567571,2362263807.777572,Administrative Boundary,Survey of India (SOI),Kerala
307,307,KL,32,Malappuram,562,402049.5464748308,3588291261.9235506,Administrative Boundary,Survey of India (SOI),Kerala
308,308,KL,32,Palakkad,563,542368.3401726482,4534612164.213174,Administrative Boundary,Survey of India (SOI),Kerala
309,309,KL,32,Pathanamthitta,564,403787.9911517204,2716225960.658041,Administrative Boundary,Survey of India (SOI),Kerala
310,310,KL,32,Thiruvananthapuram,565,284929.7623356934,2259142442.322584,Administrative Boundary,Survey of India (SOI),Kerala
311,311,KL,32,Thrissur,566,392208.79638136044,3077821992.245781,Administrative Boundary,Survey of India (SOI),Kerala
312,312,KL,32,Wayanad,567,285368.00587594014,2146778564.4461703,Administrative Boundary,Survey of India (SOI),Kerala
313,313,LD,31,Lakshadweep District,553,400794.345101047,669714162.74373,Administrative Boundary,Survey of India (SOI),Lakshadweep
314,314,LK,37,Kargil,006,899676.6108963508,14085644511.853868,Administrative Boundary,Survey of India (SOI),Ladakh
315,315,LK,37,Leh Ladakh,009,3207825.007051045,155377120417.97757,Administrative Boundary,Survey of India (SOI),Ladakh
316,316,MH,27,Ahmednagar,466,1350331.6594690164,16554765396.970404,Administrative Boundary,Survey of India (SOI),Maharashtra
317,317,MH,27,Akola,467,599205.4600274935,5236393098.57468,Administrative Boundary,Survey of India (SOI),Maharashtra
318,318,MH,27,Amravati,468,926764.3754269639,11763573093.84791,Administrative Boundary,Survey of India (SOI),Maharashtra
319,319,MH,27,Aurangabad,469,802193.2128529861,9831614652.149895,Administrative Boundary,Survey of India (SOI),Maharashtra
320,320,MH,27,Beed,470,924337.1640271274,10272839950.306345,Administrative Boundary,Survey of India (SOI),Maharashtra
321,321,MH,27,Bhandara,471,474274.675349308,3945905118.588954,Administrative Boundary,Survey of India (SOI),Maharashtra
322,322,MH,27,Buldhana,472,744206.117402739,9402443499.56686,Administrative Boundary,Survey of India (SOI),Maharashtra
323,323,MH,27,Chandrapur,473,681585.7629552287,10967038136.849945,Administrative Boundary,Survey of India (SOI),Maharashtra
324,324,MH,27,Dhule,474,611671.8143040884,6928917948.512893,Administrative Boundary,Survey of India (SOI),Maharashtra
325,325,MH,27,Gadchiroli,475,919012.3485574599,14038085282.453901,Administrative Boundary,Survey of India (SOI),Maharashtra
326,326,MH,27,Gondia,476,510811.489572831,5038118958.275322,Administrative Boundary,Survey of India (SOI),Maharashtra
327,327,MH,27,Hingoli,477,472657.89273127215,4462037839.230869,Administrative Boundary,Survey of India (SOI),Maharashtra
328,328,MH,27,Jalgaon,478,781675.5593653788,11341572463.678183,Administrative Boundary,Survey of India (SOI),Maharashtra
329,329,MH,27,Jalna,479,686332.0399484095,7394044466.949029,Administrative Boundary,Survey of India (SOI),Maharashtra
330,330,MH,27,Kolhapur,480,940015.2240050526,7515514979.624747,Administrative Boundary,Survey of India (SOI),Maharashtra
331,331,MH,27,Latur,481,550149.9286850888,6994563808.942672,Administrative Boundary,Survey of India (SOI),Maharashtra
332,332,MH,27,Mumbai Suburban,483,105740.61840780845,406092903.71552706,Administrative Boundary,Survey of India (SOI),Maharashtra
333,333,MH,27,Nagpur,484,631551.9973053075,9537169302.261414,Administrative Boundary,Survey of India (SOI),Maharashtra
334,334,MH,27,Nanded,485,1053675.735644433,10195674498.17823,Administrative Boundary,Survey of India (SOI),Maharashtra
335,335,MH,27,Nandurbar,486,719266.2789089427,5744064929.656893,Administrative Boundary,Survey of India (SOI),Maharashtra
336,336,MH,27,Nashik,487,891924.5856221534,14997754273.736126,Administrative Boundary,Survey of India (SOI),Maharashtra
337,337,MH,27,Osmanabad,488,782633.7326052187,7357716786.837124,Administrative Boundary,Survey of India (SOI),Maharashtra
338,338,MH,27,Parbhani,489,569581.448641564,6198989060.000709,Administrative Boundary,Survey of India (SOI),Maharashtra
339,339,MH,27,Pune,490,1009402.4290729358,15181518258.278894,Administrative Boundary,Survey of India (SOI),Maharashtra
340,340,MH,27,Raigad,491,700244.3248269116,6788401395.843969,Administrative Boundary,Survey of India (SOI),Maharashtra
341,341,MH,27,Ratnagiri,492,693515.986694565,8091993180.990724,Administrative Boundary,Survey of India (SOI),Maharashtra
342,342,MH,27,Sangli,493,930013.5820470399,8393173741.288185,Administrative Boundary,Survey of India (SOI),Maharashtra
343,343,MH,27,Satara,494,694240.4740638281,10194118584.626858,Administrative Boundary,Survey of India (SOI),Maharashtra
344,344,MH,27,Sindhudurg,495,594563.3524575457,5005051066.085433,Administrative Boundary,Survey of India (SOI),Maharashtra
345,345,MH,27,Solapur,496,1251617.9801380145,14458461628.082193,Administrative Boundary,Survey of India (SOI),Maharashtra
346,346,MH,27,Thane,497,439044.94509662676,4120767283.5124645,Administrative Boundary,Survey of India (SOI),Maharashtra
347,347,MH,27,Wardha,498,496263.4608827383,6083675527.855141,Administrative Boundary,Survey of India (SOI),Maharashtra
348,348,MH,27,Washim,499,592933.0508372735,4968944282.624692,Administrative Boundary,Survey of India (SOI),Maharashtra
349,349,MH,27,Yavatmal,500,934143.6134013148,13120796899.802563,Administrative Boundary,Survey of India (SOI),Maharashtra
350,350,MH,27,Palghar,665,470738.2956916549,5082442072.723721,Administrative Boundary,Survey of India (SOI),Maharashtra
351,351,ML,17,East Garo Hills,273,236593.4546131125,1789685614.7505965,Administrative Boundary,Survey of India (SOI),Meghalaya
