Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Reservoir_Storage_mcm
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-20 07:30:00,1981.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-21 07:30:00,1974.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-22 07:30:00,1969.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-23 07:30:00,1969.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-24 07:30:00,1969.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-25 07:30:00,1969.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-26 07:30:00,1969.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-27 07:30:00,1966.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-02-28 07:30:00,1966.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-01 07:30:00,1967.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-02 07:30:00,1963.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-03 07:30:00,1963.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-04 07:30:00,1963.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-05 07:30:00,1942.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-06 07:30:00,1932.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-07 07:30:00,1917.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-08 07:30:00,1905.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-09 07:30:00,1893.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-10 07:30:00,1875.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-11 07:30:00,1866.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-12 07:30:00,1845.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-13 07:30:00,1844.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-14 07:30:00,1826.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-15 07:30:00,1826.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-16 07:30:00,1800.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-17 07:30:00,1785.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-18 07:30:00,1765.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-19 07:30:00,1739.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-20 07:30:00,1704.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-21 07:30:00,1682.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-22 07:30:00,1660.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-23 07:30:00,1633.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-24 07:30:00,1606.0
