id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
655,655,9999,,NA,NA,NA,NA,NA,,0.706824114096112,,31.7039446788,76.0438935754,Himachal Pradesh,362.9813392764631,7068.2411409611195,Hydrological Layer,SAC N
515,515,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.226319776340767,,31.3931833571,76.4258395451,Himachal Pradesh,205.45266961245576,2263.197763407665,Hydrological Layer,SAC N
516,516,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.194917182178594,,31.3949330746,76.4322990371,Himachal Pradesh,164.99648247264466,1949.1718217859423,Hydrological Layer,SAC N
517,517,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Check Dam,0.122568834755617,,31.3916621423,76.4297440912,Himachal Pradesh,126.77750485516322,1225.6883475561742,Hydrological Layer,SAC N
665,665,9999,,NA,NA,NA,NA,NA,,0.242650354748964,,31.6102075491,76.082454347,Himachal Pradesh,203.2448885844784,2426.5035474896436,Hydrological Layer,SAC N
518,518,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.3906401909913,,31.3818087048,76.421938402,Himachal Pradesh,301.86005048838973,3906.401909913002,Hydrological Layer,SAC N
519,519,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.220525946506094,,31.3761612347,76.4169723165,Himachal Pradesh,201.56321747415018,2205.2594650609417,Hydrological Layer,SAC N
523,523,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.169280697719299,,31.38911862,76.4290422196,Himachal Pradesh,170.2164801412204,1692.8069771929872,Hydrological Layer,SAC N
520,520,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Reservoir,0.304654971146011,,31.3719413774,76.4256644466,Himachal Pradesh,329.3976853732289,3046.5497114601144,Hydrological Layer,SAC N
555,555,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.14641169298168,,31.3310373355,76.4491716153,Himachal Pradesh,138.584018744282,1464.116929816804,Hydrological Layer,SAC N
1136,1136,9999,,NA,NA,NA,NA,NA,,0.353031295133817,,31.7944328724,77.0144087572,Himachal Pradesh,267.73529844746196,3530.3129513381664,Hydrological Layer,SAC N
521,521,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,1.591544011148822,,31.3721815706,76.4340341513,Himachal Pradesh,1004.9165383285439,15915.440111488224,Hydrological Layer,SAC N
522,522,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.50380775744614,,31.3698036386,76.4363907585,Himachal Pradesh,349.45024375152957,5038.077574461403,Hydrological Layer,SAC N
524,524,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.14862516352656,,31.387787493,76.4253100011,Himachal Pradesh,170.511799930941,1486.2516352656028,Hydrological Layer,SAC N
631,631,9999,,NA,NA,NA,NA,NA,,0.229593156743077,,31.5496522222,76.1129790547,Himachal Pradesh,413.1130609642961,2295.9315674307686,Hydrological Layer,SAC N
525,525,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Check Dam,0.313766298738803,,31.3865134353,76.4316826529,Himachal Pradesh,359.00397475866237,3137.6629873880347,Hydrological Layer,SAC N
526,526,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.181959015233692,,31.3814919133,76.4305865177,Himachal Pradesh,175.48790626938407,1819.590152336918,Hydrological Layer,SAC N
527,527,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Check Dam,0.191508100525217,,31.3819845874,76.436076225,Himachal Pradesh,207.92553917607435,1915.0810052521726,Hydrological Layer,SAC N
528,528,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Check Dam,0.744960506948323,,31.3820320778,76.4344711274,Himachal Pradesh,393.7366570706772,7449.605069483227,Hydrological Layer,SAC N
553,553,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.100393576683866,,31.3507872194,76.4568433586,Himachal Pradesh,114.76813132463585,1003.9357668386604,Hydrological Layer,SAC N
1066,1066,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.163784842105388,,30.5310262766,77.1757530954,Himachal Pradesh,161.92489063349996,1637.8484210538772,Hydrological Layer,SAC N
1725,1725,9999,,NA,NA,NA,NA,NA,,0.24399855756169,,32.1604302902,76.3210914927,Himachal Pradesh,202.12776910902326,2439.9855756169027,Hydrological Layer,SAC N
529,529,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.457346075163882,,31.386432473,76.4336986669,Himachal Pradesh,354.9126316441049,4573.460751638824,Hydrological Layer,SAC N
530,530,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.350433507820767,,31.3843881877,76.4445110947,Himachal Pradesh,232.5209339815025,3504.3350782076727,Hydrological Layer,SAC N
531,531,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.104841595565784,,31.3798103147,76.4223643875,Himachal Pradesh,118.07885744654786,1048.4159556578368,Hydrological Layer,SAC N
532,532,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.156017250404186,,31.3781059953,76.4352578091,Himachal Pradesh,175.33499342250255,1560.1725040418623,Hydrological Layer,SAC N
533,533,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.123517572593303,,31.3742884369,76.4355321655,Himachal Pradesh,180.54088931170259,1235.1757259330343,Hydrological Layer,SAC N
544,544,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.122825892731507,,31.3699650078,76.4637472623,Himachal Pradesh,135.03410591683928,1228.2589273150675,Hydrological Layer,SAC N
1083,1083,1103,,No,Low,Inland,Natural,High altitude lake,Lake,0.121090955630581,,31.3064328082,77.9590684674,Himachal Pradesh,128.77389708000032,1210.909556305812,Hydrological Layer,SAC N
539,539,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Check Dam,0.166703413741339,,31.3684036533,76.4441672824,Himachal Pradesh,180.55945269729705,1667.0341374133918,Hydrological Layer,SAC N
534,534,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.401100228731783,,31.3482988951,76.4307950076,Himachal Pradesh,285.8815158484077,4011.0022873178254,Hydrological Layer,SAC N
535,535,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.321494315213009,,31.3437908612,76.4285201475,Himachal Pradesh,208.22238072130915,3214.9431521300944,Hydrological Layer,SAC N
536,536,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.356039245070238,,31.3515532198,76.4310744409,Himachal Pradesh,322.36853118988694,3560.3924507023835,Hydrological Layer,SAC N
537,537,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.297668502229288,,31.3554056763,76.4379844661,Himachal Pradesh,248.6077057080414,2976.6850222928806,Hydrological Layer,SAC N
538,538,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.428340011426991,,31.3711640316,76.4422944378,Himachal Pradesh,354.9685245564449,4283.40011426991,Hydrological Layer,SAC N
541,541,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Reservoir,1.281965910400112,,31.3633765075,76.4488314286,Himachal Pradesh,873.9149209614457,12819.659104001115,Hydrological Layer,SAC N
542,542,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Check Dam,0.126513695087274,,31.3825076324,76.4379628494,Himachal Pradesh,166.75632634076743,1265.1369508727378,Hydrological Layer,SAC N
543,543,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.124074075512837,,31.3707592922,76.4633476592,Himachal Pradesh,126.510530736073,1240.7407551283748,Hydrological Layer,SAC N
1155,1155,1103,,No,Low,Inland,Natural,High altitude lake,Pro Glacial Lake,0.218619123921754,,31.8807783141,77.53886262,Himachal Pradesh,175.07295419784805,2186.1912392175436,Hydrological Layer,SAC N
556,556,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.143210742869412,,31.3346816828,76.4493899979,Himachal Pradesh,154.72656024409076,1432.1074286941152,Hydrological Layer,SAC N
545,545,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.236483983817022,,31.3685476542,76.4644139762,Himachal Pradesh,228.97235555530298,2364.8398381702204,Hydrological Layer,SAC N
546,546,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.412471550026659,,31.3619042911,76.4649841159,Himachal Pradesh,254.27240967632068,4124.715500266593,Hydrological Layer,SAC N
547,547,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.152116550686587,,31.3660827313,76.4712067873,Himachal Pradesh,148.52988485122876,1521.165506865866,Hydrological Layer,SAC N
548,548,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.250724612490968,,31.3228606763,76.4678353997,Himachal Pradesh,203.0608838728097,2507.2461249096755,Hydrological Layer,SAC N
549,549,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.174348281255833,,31.3481633215,76.4471840028,Himachal Pradesh,165.60199611788573,1743.4828125583315,Hydrological Layer,SAC N
664,664,9999,,NA,NA,NA,NA,NA,,0.398080601731411,,31.6099205398,76.0885858805,Himachal Pradesh,326.5349534150837,3980.8060173141107,Hydrological Layer,SAC N
550,550,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.121260842908972,,31.345557223,76.4529257938,Himachal Pradesh,125.6591404728022,1212.6084290897186,Hydrological Layer,SAC N
551,551,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.112662831972213,,31.3458268453,76.4545725464,Himachal Pradesh,129.7184794322812,1126.628319722129,Hydrological Layer,SAC N
557,557,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.335633791916312,,31.3429945755,76.4588048615,Himachal Pradesh,304.1704724542198,3356.337919163121,Hydrological Layer,SAC N
558,558,1202,,No,Moderate,Inland,Man-made,Tank/Pond,Rural Tank/ Pond,0.352919972251495,,31.3343840676,76.4508445433,Himachal Pradesh,320.38561080302776,3529.19972251495,Hydrological Layer,SAC N
