id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,level_iii,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency
1027,1027,9999,,NA,NA,NA,NA,NA,,0.25895544551092,,34.829343166,73.9550324218,Jammu & Kashmir,447.5965122901978,2589.554455109199,Hydrological Layer,SAC N
1040,1040,9999,,NA,NA,NA,NA,NA,,0.430205565872065,,34.36890699,74.0453503758,Jammu & Kashmir,320.7572039676395,4302.055658720648,Hydrological Layer,SAC N
1028,1028,1201,Patrind Hydropower Plant,No,Low,Inland,Man-made,Reservoir/Barrage,,2.509315155848004,,34.3460374131,73.4217868619,Jammu & Kashmir,1346.490839596729,25093.151558480044,Hydrological Layer,SAC N
1029,1029,9999,,NA,NA,NA,NA,NA,,0.349194598184418,,34.5671497669,73.4560113457,Jammu & Kashmir,264.6316699071931,3491.9459818441796,Hydrological Layer,SAC N
1030,1030,1202,,No,Low,Inland,Man-made,Tank/Pond,,0.13994527115524,,34.5224538616,73.5452539737,Jammu & Kashmir,151.6562278263961,1399.452711552397,Hydrological Layer,SAC N
1031,1031,9999,,NA,NA,NA,NA,NA,,9.657921177784164,,34.3690872827,73.9708727841,Jammu & Kashmir,1979.3477704075221,96579.21177784164,Hydrological Layer,SAC N
1032,1032,9999,,NA,NA,NA,NA,NA,,0.547927568016747,,34.3621046192,74.0475587151,Jammu & Kashmir,356.09174634097707,5479.275680167471,Hydrological Layer,SAC N
1033,1033,9999,,NA,NA,NA,NA,NA,,0.215451443142034,,34.3628735157,74.0464339305,Jammu & Kashmir,236.58062280311054,2154.5144314203385,Hydrological Layer,SAC N
1034,1034,9999,,NA,NA,NA,NA,NA,,0.921558269936801,,34.3615136643,74.047144231,Jammu & Kashmir,710.7989622337642,9215.582699368006,Hydrological Layer,SAC N
1035,1035,9999,,NA,NA,NA,NA,NA,,0.26089549102036,,34.3614075025,74.0476304194,Jammu & Kashmir,269.39395658591553,2608.9549102036044,Hydrological Layer,SAC N
1036,1036,9999,,NA,NA,NA,NA,NA,,0.725701215094052,,34.3606708681,74.0486165004,Jammu & Kashmir,400.99552677566504,7257.012150940523,Hydrological Layer,SAC N
1037,1037,9999,,NA,NA,NA,NA,NA,,0.36444692382929,,34.3755001863,74.0382293748,Jammu & Kashmir,273.54418759350295,3644.4692382929015,Hydrological Layer,SAC N
1038,1038,9999,,NA,NA,NA,NA,NA,,1.019953922606694,,34.3733551638,74.040240719,Jammu & Kashmir,514.3224662298528,10199.539226066941,Hydrological Layer,SAC N
1059,1059,9999,,NA,NA,NA,NA,NA,,0.676581174859024,,33.5666288726,74.6671927499,Jammu & Kashmir,478.4020887634425,6765.811748590236,Hydrological Layer,SAC N
1041,1041,9999,,NA,NA,NA,NA,NA,,0.383337629228311,,34.3716587365,74.0436353511,Jammu & Kashmir,389.05873554079943,3833.37629228311,Hydrological Layer,SAC N
1044,1044,9999,,NA,NA,NA,NA,NA,,0.770546184804802,,34.4358410452,73.9897142192,Jammu & Kashmir,474.2255850058945,7705.461848048015,Hydrological Layer,SAC N
1045,1045,9999,,NA,NA,NA,NA,NA,,1.323654888722986,,34.4318924938,73.9886034825,Jammu & Kashmir,452.93542192333683,13236.548887229861,Hydrological Layer,SAC N
1046,1046,9999,,NA,NA,NA,NA,NA,,5.970136991388252,,34.3680904563,73.8019156265,Jammu & Kashmir,1492.1873485561707,59701.369913882525,Hydrological Layer,SAC N
1051,1051,9999,,NA,NA,NA,NA,NA,,2.469864730849529,,33.6193919436,74.1224808198,Jammu & Kashmir,703.7985008202184,24698.64730849529,Hydrological Layer,SAC N
1052,1052,9999,,NA,NA,NA,NA,NA,,4.921750326910103,,33.628229833,74.1090927734,Jammu & Kashmir,1034.6735527675708,49217.50326910103,Hydrological Layer,SAC N
1053,1053,9999,,NA,NA,NA,NA,NA,,3.476286628511197,,33.63261126,74.0533063663,Jammu & Kashmir,1003.9036175936411,34762.86628511197,Hydrological Layer,SAC N
1047,1047,1201,Nausadda Dam,No,Low,Inland,Man-made,Reservoir/Barrage,,41.92349305138948,,34.3865960469,73.7304462607,Jammu & Kashmir,9560.867191904612,419234.93051389477,Hydrological Layer,SAC N
1048,1048,9999,,NA,NA,NA,NA,NA,,0.511671530983547,,34.322002708,73.7216933171,Jammu & Kashmir,277.3327764983599,5116.71530983547,Hydrological Layer,SAC N
1085,1085,1105,,No,Moderate,Inland,Natural,Waterlogged,,0.339376006694614,,34.4249909853,74.1974636048,Jammu & Kashmir,237.12333413509378,3393.7600669461394,Hydrological Layer,SAC N
1060,1060,1103,,No,Low,Inland,Natural,High altitude lake,,1.149092890880735,,33.583775382,74.716097191,Jammu & Kashmir,400.6077546478043,11490.928908807353,Hydrological Layer,SAC N
1049,1049,9999,,NA,NA,NA,NA,NA,,14.211562017020395,,33.6317050534,74.1384742422,Jammu & Kashmir,2813.4600494551205,142115.62017020394,Hydrological Layer,SAC N
1050,1050,9999,,NA,NA,NA,NA,NA,,2.112174414657399,,33.6381096246,74.1417812702,Jammu & Kashmir,1008.6048653787133,21121.74414657399,Hydrological Layer,SAC N
1054,1054,9999,,NA,NA,NA,NA,NA,,4.256408204264467,,33.6345291527,74.0606314471,Jammu & Kashmir,1123.4876152297031,42564.08204264467,Hydrological Layer,SAC N
1055,1055,9999,,NA,NA,NA,NA,NA,,0.46081961531261,,33.6132232628,74.1316354564,Jammu & Kashmir,297.3523226235637,4608.196153126104,Hydrological Layer,SAC N
