Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Water_Level_m
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-05 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-06 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-07 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-08 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-09 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-10 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-11 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2011-10-12 08:00:00,64.435
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-17 08:00:00,64.63
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-18 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-19 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-20 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-21 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-22 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-23 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-24 08:00:00,64.709
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-25 08:00:00,64.45
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-26 08:00:00,64.456
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-27 08:00:00,64.459
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-28 08:00:00,64.456
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-29 08:00:00,64.459
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-06-30 08:00:00,64.459
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-01 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-02 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-03 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-04 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-05 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-06 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-07 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-08 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-09 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-10 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-11 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-12 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-13 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-14 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-15 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-16 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-17 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-18 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-19 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-20 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-21 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-22 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-23 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-24 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-25 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-26 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-27 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-28 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-29 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-30 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-07-31 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-08-01 08:00:00,64.465
Durgapur Barrage,West Bengal,PASCHIM BARDHAMAN,FARIDPUR DURGAPUR,-,Hoogly,Ganga,23.476667,87.303611,2012-08-02 08:00:00,64.465
