Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_name,Waterbody_Category_Code,waterbody_nature,Ownership,waterbody_use,waterbody_use_type,reason_not_in_use,waterbody_encroached,Rural_Urban,Water_Spread_Area,Storage_Capacity,construction_year,renovation_year,data_collection_method,waterbody_under_govt_scheme,wbid,photo,Dataset_Name
Phase 1,Uttarakhand,UK,Nainital,Nainital,Bhimtal Np,UK2ANNT0010,29.34227231,79.5612028,Ganga,Ramganga,Gola/Kiccha,Tanks,43.94314552,439431.4552494635,3983.610158406674,No,No,No,No,Bhimtal Np,NWIC,16,16,32072.0,05,051,0340,248456,2A,2A,RAM,RAM,WS2ARAM018,Bhimtal Reservoir,02,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Dehradun,Kalsi,Khoi,UK2ADHR0006,30.62294432,77.7881036,Ganga,Yamuna Upper,Tons,Tanks,39.14031861,391403.1860537907,5208.5294785120905,No,No,No,No,Khoi,NWIC,18,18,32074.0,05,049,0302,044874,2A,2A,YAU,YAU,WS2AYAU007,Ichari Reservoir,02,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Pauri Garhwal,Srinagar,Koteshwar Gunth,UK2APGR0002,30.23946727,78.83303025,Ganga,Above Ramganga Confluence,Alaknanda,Tanks,7.838633069999999,78386.33066462094,1147.81630228232,No,No,No,No,Koteshwar Gunth,NWIC,19,19,32075.0,05,052,0306,045495,2A,2A,ARA,ARA,WS2AARA025,Srinagar,02,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Ramnagar,Dogadda Range,UK2ANNT0011,29.4427159,79.11306345,Ganga,Ramganga,Dhela,Ponds,1.61099631,16109.963123720394,681.6096680662899,No,No,No,No,,NWIC,24,24,32080.0,05,051,0343,055445,2A,2A,RAM,RAM,WS2ARAM006,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Nainital,Bhowali Range,UK2ANNT0013,29.35318531,79.52463587000001,Ganga,Ramganga,Gola/Kiccha,Ponds,2.61885948,26188.59476238235,1090.341540828564,No,No,No,No,,NWIC,26,26,32082.0,05,051,0340,054917,2A,2A,RAM,RAM,WS2ARAM018,Purna Tal,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Ramnagar,Aampokhra Range,UK2ANNT0014,29.35255146,78.99418797,Ganga,Ramganga,Dhela,Ponds,2.1830316,21830.316031321323,566.9536581797545,No,Yes,No,Yes,,NWIC,27,27,32083.0,05,051,0343,055442,2A,2A,RAM,RAM,WS2ARAM006,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Kaladhungi,Kaladhungi Range,UK2ANNT0015,29.33661248,79.25652476,Ganga,Ramganga,Ghuga,Ponds,5.22864399,52286.43989564708,1126.6989097960352,Yes,Yes,Yes,Yes,,NWIC,28,28,32084.0,05,051,0344,055568,2A,2A,RAM,RAM,WS2ARAM014,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Ramnagar,Birpur Tara,UK2ANNT0017,29.26924843,79.04909086,Ganga,Ramganga,Kosi,Ponds,4.659576270000001,46595.7626870331,1185.2272114671684,No,No,No,No,,NWIC,30,30,32086.0,05,051,0343,055372,2A,2A,RAM,RAM,WS2ARAM010,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Ramnagar,Thari,UK2ANNT0018,29.27023081,79.05352724,Ganga,Ramganga,Kosi,Ponds,2.2519621,22519.62104945639,573.1967844914651,No,No,No,No,,NWIC,31,31,32087.0,05,051,0343,055368,2A,2A,RAM,RAM,WS2ARAM010,,01,,,,,,,,,,,,,,,,District Water Body Atlas
Phase 1,Uttarakhand,UK,Nainital,Haldwani,Jaula Sal Range,UK2ANNT0020,28.98997936,79.81676166999999,Ganga,Ramganga,Deoha/Garra,Ponds,28.56000482,285600.0482165626,2562.1502996686595,No,No,No,No,,NWIC,33,33,32089.0,05,051,0342,055291,2A,2A,RAM,RAM,WS2ARAM031,,01,,,,,,,,,,,,,,,,District Water Body Atlas
