Dist_Name,avg_elevation,min_elevation,max_elevation,avg_rainfall_mm,max_rainfall_mm,avg_temp,min_temp,max_temp,avg_air_pressure,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,State_Name
Banaskantha,135.0,135.0,135.0,3.5247210804462714,269.0,28.298235505941662,6.0,48.0,1008.6433176628609,,,,,,,,,Gujarat
Banda,120.0,120.0,120.0,3.005977165883143,310.3,25.427602417730018,4.4,48.1,1008.2946272666219,16.059900808320847,6.835722082,0.522039626,6.313682456,87.0,4.0,2069729.0,22.0,Uttar Pradesh
Bandipore,,,,,,,,,,13.083772934787342,2.552861234,0.616409408,1.936451826,30.0,4.0,378179.0,7.0,Jammu & Kashmir
Bangalore,,,,,,,,,,15.439242120141657,0.342520348,0.227953363,0.114566985,75.0,37.0,13403998.0,6.0,Karnataka
Banka,,,,,,,,,,15.16369520645247,2.03422427,0.348262775,1.685961495,120.0,0.0,2787874.0,26.0,Bihar
Bankura,0.0,0.0,0.0,4.119248466257669,165.7,25.626073619631903,8.4,44.4,1007.9709355828221,17.31955291994364,1.837666654,0.435897763,1.401768891,203.0,26.0,3957405.0,35.0,West Bengal
Banswara,,,,,,,,,,13.54361333571918,0.908342871,0.925230196,0.016887325,72.0,8.0,2229890.0,17.0,Rajasthan
Bapatla,0.0,0.0,0.0,3.7057515337423315,112.3,27.825613496932515,14.3,43.6,1008.339800613497,,,,,,,,,Andhra Pradesh
Bara Banki,,,,,,,,,,17.20010241203816,3.016814521,0.151297728,2.865516793,202.0,10.0,3807867.0,13.0,Uttar Pradesh
Baramula,,,,,,,,,,14.999944827865958,1.128824654,0.217682121,0.911142533,75.0,39.0,1224436.0,5.0,Jammu & Kashmir
Baramulla,2652.0,2652.0,2652.0,3.4651881720430104,60.7,6.912634408602151,-18.5,24.4,1017.7971774193549,,,,,,,,,Jammu and Kashmir
Baran,,,,,,,,,,15.039160483347256,2.698445577,0.273336329,2.425109248,43.0,4.0,1450001.0,19.0,Rajasthan
Bareilly,167.0,167.0,167.0,5.583047619047619,206.0,24.428730330982095,2.5,45.0,1008.3160510409672,16.485703008265663,4.170101962,0.0,4.170101962,85.0,7.0,5352228.0,19.0,Uttar Pradesh
Bargarh,,,,,,,,,,13.614087660258908,1.309118184,1.345216816,0.036098632,139.0,0.0,1562701.0,24.0,Odisha
Barmer,193.0,193.0,193.0,1.776190476190476,122.9,27.903555431131018,4.3,49.5,1008.8517797179315,16.36665709469927,0.88895207,0.014956261,0.873995809,85.0,8.0,3345308.0,20.0,Rajasthan
Barnala,,,,,,,,,,11.104807807396751,1.6671773,0.0,1.6671773,6.0,0.0,684088.0,7.0,Punjab
Barpeta,,,,,,,,,,17.072155278812332,13.96647843,3.478605956,10.48787247,159.0,5.0,1877307.0,9.0,Assam
Barwani,,,,,,,,,,12.157796682598162,0.86377453,0.58771354,0.27606099,7.0,10.0,1771460.0,6.0,Madhya Pradesh
Bastar,552.0,552.0,552.0,6.2751175716117995,289.1,25.183373950717574,5.5,43.1,1009.3197447951646,13.274181260306246,1.887109361,0.254405482,1.632703879,9.0,38.0,948753.0,4.0,Madhya Pradesh
Basti,,,,,,,,,,17.214701565903344,4.958766648,0.322726847,4.636039801,188.0,14.0,2718480.0,19.0,Uttar Pradesh
Bathinda,207.0,207.0,207.0,0.7605351170568563,37.6,23.503567447045707,1.6,47.0,1009.561872909699,14.432439103601508,4.083232034,0.018454025,4.064778009,24.0,5.0,1697487.0,7.0,Punjab
Baudh,,,,,,,,,,13.156021760829558,2.608651472,0.899336006,1.709315466,30.0,0.0,520532.0,32.0,Odisha
Begusarai,,,,,,,,,,17.41078092869951,21.87259266,1.072873296,20.79971936,126.0,10.0,3830215.0,22.0,Bihar
Belagavi,754.5,751.0,758.0,4.546506941334528,191.9,24.113445378151262,7.4,40.2,1010.6693418401611,14.974630688320827,1.274110942,0.55806105,0.716049892,63.0,2.0,5439561.0,6.0,Karnataka
Bengaluru Rural,897.0,897.0,897.0,3.918328220858896,143.8,24.15186789388197,9.0,41.0,1013.9902054467271,15.693701586601923,0.192307509,0.071765205,0.120542304,164.0,135.0,1355031.0,4.0,Karnataka
Bengaluru Urban,904.0,888.0,920.0,4.52726226993865,143.8,24.18515159718462,9.2,40.1,1012.5145007166747,,,,,,,,,Karnataka
