Phase,State_Name,State_Code,District,Subdistrict,Village,UUID,Latitude,Longitude,River_Basin,Sub_Basin,River,Waterbody_Type,GIS_Area_ha,Shape_Area_sqm,Perimeter_Length_m,Water_Presence_Apr22,Water_Presence_Nov22,Water_Presence_Apr23,Water_Presence_Nov23,Nearest_Settlement,Source_Agency,id,objectid_1,objectid,State_Census_Code,District_Code,Subdistrict_Code,Village_Code,Basin_Code,bacode,Subbasin_Code,sbcode,Watershed_Code,waterbody_,waterbod_1,waterbod_2,Ownership,waterbod_3,waterbod_4,reason_not,waterbod_5,Rural_Urban,Water_Spread_Area,Storage_Capacity,constructi,renovation,data_colle,waterbod_6,wbid,photo,shape_le_1,Dataset_Name
Phase 1,Manipur,MN,Imphal East,Sawombung,Khundrakpam,MN20IME0014,24.85705497,93.96679809,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,3.51730261,35173.02614618993,886.856269034922,No,No,No,No,,NWIC,20,20,80962.0,14,255,1884,270235,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,886.856269034922,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Porompat,Laipham Siphai CT,MN20IME0015,24.83852213,93.93897102,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Imphal/Manipur,Ponds,2.5994829,25994.82900305081,1601.2111360602298,No,Yes,Yes,Yes,,NWIC,21,21,80963.0,14,255,1885,270318,20,20,IMP,IMP,WS20IMP014,,01,,,,,,,,0.0,0.0,,,,,,0,1601.2111360602298,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Porompat,Porompat CT,MN20IME0016,24.78890438,93.94960771000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Ponds,1.64516724,16451.672410668216,964.5092852871752,No,Yes,No,No,,NWIC,22,22,80964.0,14,255,1885,270312,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,0,964.5092852871752,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Lamsang,Awangkhunou,MN20IMW0007,24.785923500000003,93.83733228999999,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,1.51681261,15168.126104524757,598.4674096967103,No,No,No,No,,NWIC,23,23,80965.0,14,256,1879,270073,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,598.4674096967103,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Patsoi,Taobungkhok,MN20IMW0008,24.770633,93.8848772,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,2.23277944,22327.794395213215,778.4867869531528,No,No,No,No,,NWIC,24,24,80966.0,14,256,1880,270112,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,778.4867869531528,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Wangoi,Lairenjam,MN20IMW0009,24.72685242,93.88212854,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes,1.6984166,16984.166009943743,554.7076557679335,No,No,No,No,,NWIC,25,25,80967.0,14,256,1882,270131,20,20,IMP,IMP,WS20IMP016,,03,,,,,,,,0.0,0.0,,,,,,0,554.7076557679335,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Wangoi,Kodompokpi,MN20IMW0010,24.73199268,93.89645613,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes,1.0926104,10926.103971519142,419.6438616650605,No,No,No,No,,NWIC,26,26,80968.0,14,256,1882,270130,20,20,IMP,IMP,WS20IMP016,,03,,,,,,,,0.0,0.0,,,,,,0,419.6438616650605,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Wangoi,Naorem Leikai OG,MN20IMW0011,24.71877351,93.93299506000001,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Lakes,1.11555914,11155.591394414192,415.95638066928126,No,No,No,No,,NWIC,27,27,80969.0,14,256,1882,269937,20,20,IMP,IMP,WS20IMP016,,03,,,,,,,,0.0,0.0,,,,,,0,415.95638066928126,District Water Body Atlas
Phase 1,Manipur,MN,Imphal West,Lamsang,Phayeng,MN20IMW0027,24.8267429,93.80938038,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Logtak,Ponds,1.16404259,11640.425907857361,460.3336994264809,No,No,No,No,,NWIC,81,81,81023.0,14,256,1879,270083,20,20,IMP,IMP,WS20IMP016,,01,,,,,,,,0.0,0.0,,,,,,0,460.3336994264809,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Sawombung,Uyumpok,MN20IME0017,24.95448367,94.05330072999999,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Ponds,1.96612348,19661.23477250986,1239.546803822259,No,No,No,No,,NWIC,28,28,80970.0,14,255,1884,270222,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,0,1239.546803822259,District Water Body Atlas
Phase 1,Manipur,MN,Imphal East,Sawombung,Lamboikhul,MN20IME0018,24.92161601,94.044535,Minor rivers draining into Myanmar and Bangladesh,Imphal and others,Tril,Ponds,1.95950985,19595.098545755456,653.5437042439617,No,No,No,No,,NWIC,29,29,80971.0,14,255,1884,270224,20,20,IMP,IMP,WS20IMP015,,01,,,,,,,,0.0,0.0,,,,,,0,653.5437042439617,District Water Body Atlas
