id,objectid,subdistric,sdcode,district,dtcode,state,stcode,total_hous,total_popu,avg_hh,total_geog,forest_are,area_under,barren_un_,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,shape_leng,shape_area,ds_name,src_agency,State_Name
511,511,Pamulapadu,5266,Kurnool,511,AP,28,9930.0,40358.0,44.48663957,19839.0,554.0,2589.0,2486.0,4.0,314.0,879.0,1490.0,2105.0,9424.0,5724.0,7289.0,4659.0,2632.0,0.0,0.0,96778.16471828798,209985091.57009715,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
4649,4649,Barmer,0582,Barmer,090,RJ,08,65676.0,370721.0,1726.1963042900002,288446.0,1318.0,17066.0,13058.0,10851.0,673.0,12766.0,38329.0,25586.0,168791.0,168321.0,469.0,240.0,229.0,0.0,0.0,298461.4743432675,2592673587.433042,Administrative Boundary,Survey of India (SOI),Rajasthan
4969,4969,Tittakudi,5794,Cuddalore,570,TN,33,65216.0,262606.0,503.01157021,58778.0,1180.0,3894.0,3256.0,233.0,1375.0,614.0,2914.0,11010.0,34299.0,19609.0,14690.0,941.0,13119.0,629.0,0.0,157317.67451526702,617196098.2367605,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4970,4970,Sirkali,5795,Nagapattinam,579,TN,33,80767.0,319715.0,351.1948462,44730.0,1097.0,8572.0,188.0,119.0,1487.0,979.0,2588.0,2960.0,26723.0,2209.0,24524.0,24524.0,0.0,0.0,0.0,124797.26861931362,473334688.13899326,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4971,4971,Mayiladuthurai,5796,Nagapattinam,579,TN,33,65163.0,259634.0,245.49079164,23875.0,0.0,5897.0,258.0,119.0,420.0,55.0,600.0,463.0,16071.0,576.0,15493.0,15304.0,0.0,14.0,81.0,108469.43270222265,243200028.8898774,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4972,4972,Kuthalam,5797,Nagapattinam,579,TN,33,32952.0,131948.0,225.23859739999997,16405.0,0.0,3166.0,0.0,64.0,103.0,62.0,245.0,1029.0,11726.0,633.0,11097.0,11092.0,5.0,0.0,0.0,109062.61697321666,186744466.3615824,Administrative Boundary,Survey of India (SOI),Tamil Nadu
4973,4973,Tharangambadi,5798,Nagapattinam,579,TN,33,51611.0,207059.0,266.49025362000003,27030.0,0.0,3768.0,354.0,99.0,427.0,2021.0,1556.0,985.0,17823.0,905.0,16918.0,16780.0,138.0,0.0,0.0,91573.80206384612,289750193.6512817,Administrative Boundary,Survey of India (SOI),Tamil Nadu
512,512,Midthur,5267,Kurnool,511,AP,28,9665.0,41652.0,73.88628414,30224.0,834.0,1138.0,455.0,42.0,0.0,320.0,3326.0,5812.0,18297.0,27049.0,386.0,14.0,255.0,105.0,6.0,87137.77409881631,287027216.7338534,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
3954,3954,Kohima Sadar,1849,Kohima,245,NL,13,26138.0,116870.0,18.23653842,4500.0,270.0,100.0,0.0,0.0,2630.0,1000.0,0.0,0.0,420.0,220.0,0.0,180.0,0.0,0.0,0.0,38972.15271648025,32601689.749005042,Administrative Boundary,Survey of India (SOI),Nagaland
513,513,Orvakal,5268,Kurnool,511,AP,28,13031.0,58437.0,87.25346775,37173.0,1441.0,1927.0,8406.0,376.0,2.0,1284.0,2005.0,9640.0,12093.0,22820.0,920.0,0.0,920.0,0.0,0.0,116769.68573624438,373407039.3356377,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
4657,4657,Sanchore,0590,Jalore,104,RJ,08,45889.0,271548.0,743.2874180700001,116720.0,1160.0,3797.0,1487.0,7109.0,0.0,659.0,3690.0,7518.0,91289.0,49586.0,41705.0,1130.0,40575.0,0.0,0.0,236183.9087772121,1088689033.9567456,Administrative Boundary,Survey of India (SOI),Rajasthan
