Station,District,River,Basin,Latitude,Longitude,Acquisition_Time,River_Discharge_m3sec
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-11,95.29
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-11,46.3
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-12,193.38
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-12,105.13
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-12,68.53
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-12,36.07
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-13,176.36
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-13,144.09
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-13,49.39
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-13,30.4
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-14,159.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-14,153.76
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-14,37.58
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-14,27.8
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-15,4.1
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-15,138.49
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-15,165.34
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-15,30.89
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-10-15,25.12
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-16,4.3
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-16,120.19
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-16,182.34
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-16,26.28
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-17,4.61
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-17,115.45
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-17,191.4
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-17,28.09
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-18,5.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-18,126.73
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-18,200.02
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-18,27.8
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-19,8.73
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-19,140.03
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-19,220.14
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-19,28.09
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-20,10.87
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-20,145.61
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-20,228.66
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-20,31.73
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-21,14.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-21,153.76
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-21,225.83
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-21,43.02
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-22,15.48
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-22,158.8
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-22,213.1
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-22,40.99
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-23,18.52
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-23,171.14
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-23,198.82
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-23,36.65
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-24,20.24
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-24,171.73
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-24,181.16
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-24,31.45
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-25,22.3
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-25,169.4
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-25,172.3
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-25,26.85
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-26,22.54
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-26,157.08
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-26,165.9
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-26,23.25
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-27,54.95
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-27,141.55
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-27,167.62
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-27,19.72
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-28,67.81
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-28,130.05
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-28,171.73
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-28,17.75
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-29,83.22
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-29,142.57
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-29,178.22
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-29,15.21
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-06-30,102.88
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-30,136.49
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-30,188.42
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-09-30,14.52
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-07-31,129.56
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2021-08-31,201.02
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-01,53.06
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-01,9.32
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-01,9.63
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-01,4.74
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-02,62.76
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-02,6.18
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-02,14.25
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-02,2.49
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-03,52.97
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-03,10.07
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-03,17.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-03,2.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-04,44.84
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-04,15.03
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-04,15.07
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-04,2.47
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-05,34.16
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-05,17.25
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-05,18.6
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-05,2.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-06,25.97
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-06,18.43
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-06,21.55
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-06,2.91
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-07,13.25
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-07,15.26
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-07,19.39
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-07,2.76
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-08,18.76
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-08,10.9
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-08,14.27
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-08,15.36
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-08,3.27
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-09,3.27
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-09,3.99
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-09,10.59
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-09,11.71
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-09,5.51
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-10,6.41
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-10,2.9
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-10,7.49
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-10,12.04
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-10,3.88
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-11,3.23
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-11,2.56
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-11,4.91
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-11,16.2
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-11,3.12
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-12,1.98
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-12,2.16
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-12,3.34
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-12,12.16
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-12,2.71
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-13,1.11
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-13,2.01
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-13,2.42
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-13,9.5
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-13,2.74
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-14,4.57
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-14,2.42
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-14,1.91
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-14,7.41
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-14,4.68
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-15,2.28
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-15,1.75
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-15,1.68
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-15,6.43
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-15,12.06
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-16,4.62
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-16,1.48
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-16,1.56
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-16,4.35
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-16,9.12
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-17,4.5
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-17,1.33
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-17,1.36
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-17,4.16
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-17,7.69
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-18,6.26
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-18,1.64
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-18,1.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-18,6.37
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-18,6.67
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-19,6.18
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-19,1.46
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-19,1.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-19,10.22
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-19,5.55
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-20,46.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-20,1.34
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-20,1.2
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-20,8.64
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-20,28.91
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-21,9.75
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-21,1.42
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-21,1.14
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-21,9.5
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-21,4.15
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-22,6.76
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-22,1.26
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-22,1.05
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-22,9.89
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-22,3.6
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-23,5.2
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-23,1.16
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-23,1.06
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-23,6.83
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-23,3.14
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-24,4.73
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-24,1.26
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-24,1.04
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-24,5.92
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-24,2.82
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-25,2.81
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-25,1.14
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-25,1.04
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-25,4.85
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-25,2.5
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-26,2.21
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-26,1.48
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-26,0.98
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-26,3.98
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-26,2.35
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-27,2.04
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-27,1.42
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-27,1.06
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-27,4.87
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-27,2.24
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-28,2.04
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-28,1.4
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-28,2.18
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-28,5.23
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-28,2.13
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-29,8.25
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-29,1.82
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-29,2.01
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-29,3.72
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-29,2.07
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-06-30,29.66
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-30,1.42
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-30,1.65
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-09-30,3.82
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-30,2.13
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-07-31,3.01
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-08-31,1.93
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2022-10-31,1.87
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2023-08-01,0.75
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2023-09-01,23.86
SITAMARHI,SITAMARHI,Khiroie,Kamla Balan,26.425381,85.781261,2023-10-01,0.93
