SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
81,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-06-27 08:30:00,2.2
82,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-06-28 08:30:00,13.4
83,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-06-29 08:30:00,20.2
84,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-06-30 08:30:00,15.4
85,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-02-07 08:30:00,20.4
86,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-05-07 08:30:00,22.4
87,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-07-18 08:30:00,16.4
88,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-07-22 08:30:00,8.4
89,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-07-31 08:30:00,7.0
90,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-02-08 08:30:00,16.6
91,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-03-08 08:30:00,14.4
92,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-08-08 08:30:00,16.4
93,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-08-14 08:30:00,16.4
94,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-08-18 08:30:00,21.4
95,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-08-24 08:30:00,12.4
96,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-08-25 08:30:00,14.4
97,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-06-09 08:30:00,32.2
98,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-08-09 08:30:00,33.6
99,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-09-09 08:30:00,50.2
100,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-09-15 08:30:00,4.0
101,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-09-21 08:30:00,18.2
102,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-09-22 08:30:00,14.6
103,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-09-23 08:30:00,6.4
104,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-09-25 08:30:00,14.4
105,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-09-30 08:30:00,40.8
106,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-01-10 08:30:00,40.2
107,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-02-10 08:30:00,6.4
108,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-03-10 08:30:00,14.8
109,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-04-10 08:30:00,20.8
110,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,2023-05-10 08:30:00,22.8
111,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-02-06 08:30:00,3.6
112,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-04-06 08:30:00,2.6
113,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-05-06 08:30:00,0.8
114,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-12-06 08:30:00,3.2
115,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-06-13 08:30:00,9.2
116,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-06-14 08:30:00,8.2
117,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-06-15 08:30:00,4.2
118,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-06-16 08:30:00,1.4
119,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,2021-06-17 08:30:00,22.8
