Dist_Name,State_Name,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration
Balrampur,Uttar Pradesh,16.273890154213387,4.434421195,0.059511194,4.374910001,58,26,2570002,20.0
Balrampur,Uttar Pradesh,15.795300126674809,4.434421195,0.059511194,4.374910001,58,26,2570002,20.0
Balrampur,Chhattisgarh,15.71565822290066,4.434421195,0.059511194,4.374910001,58,26,2570002,20.0
Balrampur,Chhattisgarh,15.237068195362085,4.434421195,0.059511194,4.374910001,58,26,2570002,20.0
Bametara,Chhattisgarh,9.95595548857293,2.704068243,0.320047689,2.384020554,3,0,909116,2.0
Banas Kantha,Gujarat,15.557662783463703,0.684661264,0.116877662,0.567783602,109,2,3729629,18.0
Banda,Uttar Pradesh,16.059900808320847,6.835722082,0.522039626,6.313682456,87,4,2069729,22.0
Bandipore,Jammu & Kashmir,13.083772934787342,2.552861234,0.616409408,1.936451826,30,4,378179,7.0
Bangalore,Karnataka,15.439242120141657,0.342520348,0.227953363,0.114566985,75,37,13403998,6.0
Banka,Bihar,15.16369520645247,2.03422427,0.348262775,1.685961495,120,0,2787874,26.0
Bankura,West Bengal,17.31955291994364,1.837666654,0.435897763,1.401768891,203,26,3957405,35.0
Banswara,Rajasthan,13.54361333571918,0.908342871,0.925230196,0.016887325,72,8,2229890,17.0
Bara Banki,Uttar Pradesh,17.20010241203816,3.016814521,0.151297728,2.865516793,202,10,3807867,13.0
Baramula,Jammu & Kashmir,14.999944827865958,1.128824654,0.217682121,0.911142533,75,39,1224436,5.0
Baran,Rajasthan,15.039160483347256,2.698445577,0.273336329,2.425109248,43,4,1450001,19.0
Bareilly,Uttar Pradesh,16.485703008265663,4.170101962,0.0,4.170101962,85,7,5352228,19.0
Bargarh,Odisha,13.614087660258908,1.309118184,1.345216816,0.036098632,139,0,1562701,24.0
Barmer,Rajasthan,16.36665709469927,0.88895207,0.014956261,0.873995809,85,8,3345308,20.0
Barnala,Punjab,11.104807807396751,1.6671773,0.0,1.6671773,6,0,684088,7.0
Barpeta,Assam,17.072155278812332,13.96647843,3.478605956,10.48787247,159,5,1877307,9.0
Barwani,Madhya Pradesh,12.157796682598162,0.86377453,0.58771354,0.27606099,7,10,1771460,6.0
Bastar,Chhattisgarh,13.274181260306246,1.887109361,0.254405482,1.632703879,9,38,948753,4.0
Basti,Uttar Pradesh,17.214701565903344,4.958766648,0.322726847,4.636039801,188,14,2718480,19.0
Bathinda,Punjab,14.432439103601508,4.083232034,0.018454025,4.064778009,24,5,1697487,7.0
Baudh,Odisha,13.156021760829558,2.608651472,0.899336006,1.709315466,30,0,520532,32.0
Begusarai,Bihar,17.41078092869951,21.87259266,1.072873296,20.79971936,126,10,3830215,22.0
Belagavi,Karnataka,14.974630688320827,1.274110942,0.55806105,0.716049892,63,2,5439561,6.0
Bengaluru Rural,Karnataka,15.693701586601923,0.192307509,0.071765205,0.120542304,164,135,1355031,4.0
Betul,Madhya Pradesh,13.474591542759846,0.659609051,0.086627039,0.572982012,26,2,1776782,6.0
Bhadohi,Uttar Pradesh,13.979632076415218,12.0892717,1.079228201,11.0100435,36,0,1805095,30.0
Bhadradri Kothagudem,Telangana,10.291820822002276,1.367448139,0.625093908,0.742354231,2,0,1149137,8.0
Bhadrak,Odisha,15.017488855468349,10.96625941,2.562091316,8.404168094,68,0,1613470,23.0
Bhagalpur,Bihar,17.604486494190635,16.20260487,2.47274559,13.72985928,161,12,3509828,20.0
Bhandara,Maharashtra,15.806534648057134,2.564278476,0.742932408,1.821346068,91,26,1132270,5.0
Bharatpur,Rajasthan,17.131242714643918,2.342300583,0.003684995,2.338615588,98,252,2952552,5.0
Bharuch,Gujarat,17.568946762319865,3.432850261,1.612396534,1.820453727,233,56,1704669,14.0
Bhavnagar,Gujarat,14.866710246249184,1.164791431,1.145481372,0.019310059,225,6,2765060,14.0
Bhilwara,Rajasthan,15.558022770832022,0.795160097,0.045229947,0.74993015,85,4,2821404,20.0
Bhind,Madhya Pradesh,13.121998929581226,2.808721208,0.119319241,2.689401967,25,0,1937516,6.0
