id,objectid_1,Wetland_Code,Wetland_Name,Aquatic_Vegetation,Turbidity,Level_I_Category,Level_II_Category,Waterbody_Type,Area_ha,remarks,Latitude,Longitude,State_Code,Perimeter_Length_m,Shape_Area_sqm,Dataset_Name,Source_Agency,Waterbody_Name
4536,4536,1202,,No,High,Inland,Man-made,,0.594006906876096,,25.4393463299,91.3313405272,Meghalaya,991.785869302337,5940.06906876096,Hydrological Layer,SAC N,Tank/Pond
108,108,1101,Katuli Beel,Yes,Moderate,Inland,Natural,,7.0329904539853,,25.4800909489,89.8763587852,Meghalaya,1348.82042783362,70329.904539853,Hydrological Layer,SAC N,Lake/Pond
109,109,1101,Katuli Beel,Yes,Moderate,Inland,Natural,,17.7572203191516,,25.4728027604,89.8704022795,Meghalaya,2017.08081893438,177572.203191516,Hydrological Layer,SAC N,Lake/Pond
110,110,1202,Thadlaskein Lake,Yes,Moderate,Inland,Man-made,,3.85569812612699,,25.4970578409,92.1731832449,Meghalaya,822.471436980287,38556.9812612699,Hydrological Layer,SAC N,Tank/Pond
111,111,1201,Mawphlang Dam,Yes,Low,Inland,Man-made,,56.1432410963243,,25.4551274286,91.7800143273,Meghalaya,13116.5110518779,561432.410963243,Hydrological Layer,SAC N,Reservoir/Barrage
112,112,1202,,No,High,Inland,Man-made,,0.34799377533648,,25.3608232004,92.1394795079,Meghalaya,273.980115001561,3479.9377533648,Hydrological Layer,SAC N,Tank/Pond
113,113,1202,,No,High,Inland,Man-made,,0.258213908597671,,25.3550931814,89.826608194,Meghalaya,220.117466621974,2582.13908597671,Hydrological Layer,SAC N,Tank/Pond
114,114,1202,,No,High,Inland,Man-made,,0.491481122582573,,25.4001108687,91.4685309462,Meghalaya,282.157796338082,4914.81122582573,Hydrological Layer,SAC N,Tank/Pond
132,132,1202,,No,High,Inland,Man-made,,0.381843946025671,,25.533038202,89.8739535227,Meghalaya,239.401661984442,3818.43946025671,Hydrological Layer,SAC N,Tank/Pond
133,133,1202,,No,High,Inland,Man-made,,0.240247417967461,,25.5315669094,89.8762908503,Meghalaya,195.619039406172,2402.47417967461,Hydrological Layer,SAC N,Tank/Pond
134,134,1202,,No,High,Inland,Man-made,,0.220196107630896,,25.5319989815,89.8728081359,Meghalaya,271.181118117027,2201.96107630896,Hydrological Layer,SAC N,Tank/Pond
115,115,1202,Kodaldua Beel,No,High,Inland,Man-made,,1.7453376453756,,25.3622832477,89.8507897087,Meghalaya,569.085301417546,17453.376453756,Hydrological Layer,SAC N,Tank/Pond
122,122,1202,Iapnarain,No,High,Inland,Man-made,,0.389572320700767,,25.3315498822,91.9011257345,Meghalaya,336.865011491963,3895.72320700767,Hydrological Layer,SAC N,Tank/Pond
124,124,1202,,No,High,Inland,Man-made,,0.131952667093669,,25.1561657585,91.6916512947,Meghalaya,143.577370345762,1319.52667093669,Hydrological Layer,SAC N,Tank/Pond
125,125,1202,,No,High,Inland,Man-made,,0.539175104491386,,26.0110060877,90.3953902835,Meghalaya,317.17900819059,5391.75104491386,Hydrological Layer,SAC N,Tank/Pond
126,126,1202,,No,High,Inland,Man-made,,0.435707991947184,,26.0093693845,90.402380437,Meghalaya,261.853567597928,4357.07991947184,Hydrological Layer,SAC N,Tank/Pond
604,604,1202,,No,High,Inland,Man-made,,0.167081870571188,,25.7756914265,91.1584067988,Meghalaya,177.348633180447,1670.81870571188,Hydrological Layer,SAC N,Tank/Pond
136,136,1202,Umsaphi lake,Yes,Moderate,Inland,Man-made,,2.83587426917412,,25.3377294309,91.723891333,Meghalaya,1116.36410387004,28358.7426917412,Hydrological Layer,SAC N,Tank/Pond
137,137,1202,Brisang_lake,Yes,Moderate,Inland,Man-made,,3.08950473029873,,25.2714883642,92.271121694,Meghalaya,1184.64531088511,30895.0473029873,Hydrological Layer,SAC N,Tank/Pond
4537,4537,1202,,No,High,Inland,Man-made,,0.10659747753799,,25.4923341133,91.4200808936,Meghalaya,179.881900194828,1065.9747753799,Hydrological Layer,SAC N,Tank/Pond
4539,4539,1202,,No,High,Inland,Man-made,,0.242880518232129,,25.3881855385,91.437847244,Meghalaya,281.956068728655,2428.80518232129,Hydrological Layer,SAC N,Tank/Pond
4542,4542,1202,,No,High,Inland,Man-made,,0.454637131195992,,25.3401827493,91.4608954173,Meghalaya,530.899260677748,4546.37131195992,Hydrological Layer,SAC N,Tank/Pond
4543,4543,1202,,No,High,Inland,Man-made,,0.137076921240354,,25.3501984733,91.4054688612,Meghalaya,139.808485700685,1370.76921240354,Hydrological Layer,SAC N,Tank/Pond
4544,4544,1202,,No,High,Inland,Man-made,,0.105069917258589,,25.3537014214,91.4051668255,Meghalaya,125.630877426831,1050.69917258589,Hydrological Layer,SAC N,Tank/Pond
4545,4545,1202,,No,High,Inland,Man-made,,0.101274367079159,,25.3509754015,91.3948997945,Meghalaya,134.363025496193,1012.74367079159,Hydrological Layer,SAC N,Tank/Pond
4546,4546,1202,,No,High,Inland,Man-made,,0.14738115432356,,25.5298278391,91.4319042199,Meghalaya,216.088090560576,1473.8115432356,Hydrological Layer,SAC N,Tank/Pond
4547,4547,1202,,No,High,Inland,Man-made,,0.4570233649834,,25.5906930827,91.4238610128,Meghalaya,525.472184583855,4570.233649834,Hydrological Layer,SAC N,Tank/Pond
4548,4548,1202,,No,High,Inland,Man-made,,0.192875652701255,,25.5427344415,91.4439188673,Meghalaya,186.741194242562,1928.75652701255,Hydrological Layer,SAC N,Tank/Pond
4549,4549,1202,,No,High,Inland,Man-made,,0.132786753502317,,25.5547446928,91.519032863,Meghalaya,136.280612012988,1327.86753502317,Hydrological Layer,SAC N,Tank/Pond
4550,4550,1202,,No,High,Inland,Man-made,,0.151249228242094,,25.3958160173,91.024690309,Meghalaya,167.848764272927,1512.49228242094,Hydrological Layer,SAC N,Tank/Pond
120,120,1202,Iapnarain,No,High,Inland,Man-made,,0.648403082519768,,25.3306443218,91.9043739134,Meghalaya,673.309487540013,6484.03082519768,Hydrological Layer,SAC N,Tank/Pond
140,140,1202,,No,High,Inland,Man-made,,0.15008447929918,,25.4756426333,91.2415768118,Meghalaya,177.625925408095,1500.8447929918,Hydrological Layer,SAC N,Tank/Pond
121,121,1202,Iapnarain,No,High,Inland,Man-made,,0.994632877057421,,25.3302987562,91.9022017879,Meghalaya,509.833004777327,9946.32877057421,Hydrological Layer,SAC N,Tank/Pond
141,141,1202,,No,High,Inland,Man-made,,0.128416273704577,,25.4686807243,91.2419774736,Meghalaya,155.450860536494,1284.16273704577,Hydrological Layer,SAC N,Tank/Pond
142,142,1202,,No,High,Inland,Man-made,,0.165942988930547,,25.4815279969,91.2703770503,Meghalaya,152.500138141585,1659.42988930547,Hydrological Layer,SAC N,Tank/Pond
143,143,1202,,No,High,Inland,Man-made,,0.344012668479935,,25.5132893217,91.277538814,Meghalaya,250.352432382825,3440.12668479935,Hydrological Layer,SAC N,Tank/Pond
144,144,1202,,No,High,Inland,Man-made,,0.485359830755007,,25.5167729366,91.2784072169,Meghalaya,307.464814031595,4853.59830755007,Hydrological Layer,SAC N,Tank/Pond
127,127,1202,,No,High,Inland,Man-made,,0.452337416404921,,25.723710715,92.005825887,Meghalaya,295.995291444155,4523.37416404921,Hydrological Layer,SAC N,Tank/Pond
166,166,1202,,No,High,Inland,Man-made,,0.229016934161226,,25.6547296081,91.2409825835,Meghalaya,236.919245758841,2290.16934161226,Hydrological Layer,SAC N,Tank/Pond
147,147,1202,,No,High,Inland,Man-made,,0.257411984140377,,25.5326352857,91.308719278,Meghalaya,195.701286757429,2574.11984140377,Hydrological Layer,SAC N,Tank/Pond
130,130,1202,,No,High,Inland,Man-made,,0.227236377738565,,25.2263630392,91.8634182596,Meghalaya,239.239088660175,2272.36377738565,Hydrological Layer,SAC N,Tank/Pond
131,131,1202,,No,High,Inland,Man-made,,0.116795305498115,,25.8952271776,90.6375833965,Meghalaya,139.447725731289,1167.95305498115,Hydrological Layer,SAC N,Tank/Pond
128,128,1202,,No,High,Inland,Man-made,,0.262038614236924,,25.806933984,92.1451040013,Meghalaya,383.041591288957,2620.38614236924,Hydrological Layer,SAC N,Tank/Pond
145,145,1202,,No,High,Inland,Man-made,,1.61912715440657,,25.5246483705,91.3062543857,Meghalaya,916.900271504122,16191.2715440657,Hydrological Layer,SAC N,Tank/Pond
146,146,1202,,No,High,Inland,Man-made,,0.451703264542892,,25.532843546,91.3072229059,Meghalaya,312.561022674868,4517.03264542892,Hydrological Layer,SAC N,Tank/Pond
135,135,1202,Pamphyrnai Lake,Yes,Moderate,Inland,Man-made,,3.82154668734352,,25.5379620758,91.3503058901,Meghalaya,1059.52184150614,38215.4668734352,Hydrological Layer,SAC N,Tank/Pond
168,168,1202,,No,High,Inland,Man-made,,0.231540949788164,,25.6636410137,91.2472557808,Meghalaya,258.303676812693,2315.40949788164,Hydrological Layer,SAC N,Tank/Pond
169,169,1202,,No,High,Inland,Man-made,,0.253750676506189,,25.7150591676,91.4732267375,Meghalaya,207.334966613466,2537.50676506189,Hydrological Layer,SAC N,Tank/Pond
170,170,1202,,No,High,Inland,Man-made,,0.257776206349069,,25.6347317411,91.4283278856,Meghalaya,201.032682503199,2577.76206349069,Hydrological Layer,SAC N,Tank/Pond
171,171,1202,,No,High,Inland,Man-made,,0.116011408139527,,25.6315352515,91.4300992015,Meghalaya,147.188283080061,1160.11408139527,Hydrological Layer,SAC N,Tank/Pond
172,172,1202,,No,High,Inland,Man-made,,0.102556638108397,,25.6315288742,91.4329159421,Meghalaya,124.014698483706,1025.56638108397,Hydrological Layer,SAC N,Tank/Pond
173,173,1202,,No,High,Inland,Man-made,,0.127895713925251,,25.6300126922,91.3275658164,Meghalaya,132.316274875949,1278.95713925251,Hydrological Layer,SAC N,Tank/Pond
