PIC,dm_name,sdso,state,district,river,incharge,ht_found,cmp_year,basin,mx_wt_lel,frl,gs_st_cap,ds_sp_cap,dm_length,dm_type,purpose,latitude,longitude,Longitude,Latitude
MP08LH0026,Dhapora,Madhya Pradesh,Madhya Pradesh,Shivpuri,,"Chief Engineer, Yamuna , Mpwrd",12.5,1913,Ganga,453.22,452.3,6.23,198.17,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"25° 4' 21.000"" N","77° 57' 50.000"" E",3798545.510300003,4117946.6061999984
MP08LH0027,Rajgarh,Madhya Pradesh,Madhya Pradesh,Shivpuri,,"Chief Engineer, Yamuna , Mpwrd",10.37,1914,Ganga,49.35,48.16,2.27,96.0,0,•	EARTHFILL (EMBANKMENT),Irrigation,"25° 20' 4.000"" N","77° 36' 8.000"" E",3763249.4015000015,4146964.1510000005
MP08LH0029,Pillowa,Madhya Pradesh,Madhya Pradesh,Morena,,"Chief Engineer, Yamuna , Mpwrd",17.12,1914,Ganga,171.0,168.09,23.186,1377.0,0,•	EARTHFILL (EMBANKMENT),Irrigation,"26° 27' 5.000"" N","78° 8' 45.000"" E",3818518.250500001,4267545.670000002
MP08MH0030,Kotwal,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Yamuna , Mpwrd",19.98,1914,Ganga,170.08,168.402,91.55,4918.0,0,•	EARTHFILL (EMBANKMENT),Irrigation,"26° 29' 19.000"" N","78° 7' 32.000"" E",3816587.469899997,4271619.1186
MP08LH0033,Jamakheri,Madhya Pradesh,Madhya Pradesh,Ashok nagar,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",12.2,1916,Ganga,473.03,471.98,4.36,255.62,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 47' 6.000"" N","77° 47' 11.000"" E",3780494.2478,4086984.186999999
MP08LH0035,Momanpura,Madhya Pradesh,Madhya Pradesh,Dewas,Mau Nala,"Chief Engineer, Ujjain, Mpwrd",10.36,1916,Ganga,27.12,26.52,4.1,220.38,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 56' 12.000"" N","76° 23' 30.000"" E",3637075.0349999964,3889168.6510000005
MP08LH0039,Bharoli,Madhya Pradesh,Madhya Pradesh,Ashok nagar,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",12.19,1916,Ganga,89.611,88.08,2.05217,125.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"24° 50' 9.000"" N","77° 48' 27.000"" E",3782673.4165999964,4092472.5438
MP08LH0042,Narola,Madhya Pradesh,Madhya Pradesh,Shajapur,,"Chief Engineer, Ujjain, Mpwrd",10.02,1916,Ganga,60.04,58.82,5.34,271.34,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 24' 23.000"" N","76° 48' 37.000"" E",3680325.9177,3939152.6180000007
MP08MH0045,Govindgarh,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ganga Basin Rewa, Mpwrd",21.34,1916,Ganga,30.9,30.0,11.96,218.78,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 22' 47.000"" N","81° 16' 24.000"" E",4126667.3753999993,4041812.3768000007
MP08LH0048,Samarsingha,Madhya Pradesh,Madhya Pradesh,Guna,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",11.88,1917,Ganga,141.2,140.2,5.53,140.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 39' 20.000"" N","77° 9' 52.000"" E",3718545.553199999,4074031.6849999987
MP08LH0049,Amahi,Madhya Pradesh,Madhya Pradesh,Ashok nagar,Akhebar,"Chief Engineer, Chambal Betwa Basin, Mpwrd",15.5,1917,Ganga,489.2,488.29,13.18,207.31,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Fishing,"24° 31' 35.000"" N","77° 41' 2.000"" E",3769869.3144999966,4059061.328899998
MP08MH0051,Tigra,Madhya Pradesh,Madhya Pradesh,Gwalior,Sank,"Chief Engineer, Yamuna , Mpwrd",24.08,1917,Ganga,226.46,225.55,126.24,3395.0,0,•	EARTHFILL (EMBANKMENT),Irrigation / Water Supply / Tourism / Other Benefits,"26° 13' 4.000"" N","78° 0' 25.000"" E",3804565.6997999996,4242333.930399999
MP08MH0052,Harsi,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Yamuna , Mpwrd",29.26,1935,Ganga,267.31,264.93,206.3,6554.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"25° 45' 3.000"" N","77° 55' 20.000"" E",3795510.165600002,4191704.035599999
MP08LH0054,Dharwara,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Wainganga Basin, Seoni",11.27,1918,Narmada,492.54,491.63,2.69,67.6,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 35' 52.000"" N","80° 18' 12.000"" E",4030357.9038999975,3956351.2687
MP08LH0055,Chandapatha,Madhya Pradesh,Madhya Pradesh,Shivpuri,,"Chief Engineer, Yamuna , Mpwrd",13.81,1918,Ganga,346.25,345.03,7.78,482.17,0,,Irrigation / Water Supply,"25° 26' 2.000"" N","77° 42' 45.000"" E",3774312.3926,4157586.729600001
MP08LH0057,Baisly,Madhya Pradesh,Madhya Pradesh,Bhind,Vaisali,"Chief Engineer, Yamuna , Mpwrd",12.19,1919,Ganga,161.54,158.8,21.69,1572.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply,"26° 25' 45.000"" N","78° 25' 49.000"" E",3846330.869900003,4264791.158
MP08MH0060,Badera,Madhya Pradesh,Madhya Pradesh,Jabalpur,Thobe N,"Chief Engineer, Wainganga Basin, Seoni",16.68,1920,Narmada,407.21,406.3,4.093,124.06,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 19' 21.000"" N","80° 3' 50.000"" E",4006407.6247999966,3926425.0412999988
MP08LH0067,Bhutia Nalla T.,Madhya Pradesh,Madhya Pradesh,Dewas,,"Chief Engineer, Ujjain, Mpwrd",10.37,1924,Ganga,40.0,39.02,1.15,106.34,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 5' 6.000"" N","76° 18' 55.000"" E",3629814.8555999994,3905471.6303999983
MP08LH0070,Narayanpura (Distt. Rajgarh),Madhya Pradesh,Madhya Pradesh,Rajgarh,Bhainsua,"Chief Engineer, Chambal Betwa Basin, Mpwrd",18.25,2015,Ganga,435.6,435.0,1.845,75.16,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 3' 31.000"" N","77° 3' 49.000"" E",3707187.250500001,4009416.6871000007
MP08MH0072,Pariat,Madhya Pradesh,Madhya Pradesh,Jabalpur,,Municipal Corporation Jabalpur,22.74,1927,Narmada,426.415,423.672,20.3,934.0,0,•	EARTHFILL (EMBANKMENT),Water Supply / Other Benefits,"23° 13' 45.000"" N","80° 7' 48.000"" E",4013047.474200003,3916293.5577999987
MP08MH0074,Pagara,Madhya Pradesh,Madhya Pradesh,Morena,,"Chief Engineer, Yamuna , Mpwrd",27.0,1927,Ganga,202.69,199.33,120.485,4692.0,1439,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Tourism / Fishing,"26° 16' 18.000"" N","77° 50' 20.000"" E",3788177.6740000024,4248434.9179
MP08LH0075,Amadi,Madhya Pradesh,Madhya Pradesh,,Amari,"Chief Engineer, Wainganga Basin, Seoni",14.8,1927,Ganga,391.16,390.7,6.04,197.22,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 49' 23.000"" N","80° 33' 36.000"" E",4055948.0188999996,3980894.8282000013
MP08MH0076,Mala,Madhya Pradesh,Madhya Pradesh,Damoh,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",16.76,1914,Ganga,358.33,355.4,19.96,887.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 41' 45.000"" N","79° 44' 13.000"" E",3973693.0122999996,3966991.9026999995
MP08LH0078,Depalpur,Madhya Pradesh,Madhya Pradesh,Indore,,"Chief Engineer, Narmada Tapti Basin, Mpwrd, Indore",10.05,1952,Ganga,527.0,526.08,13.397,624.3,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 52' 0.000"" N","75° 34' 0.000"" E",3553882.471199997,3883937.9131999984
MP08MH0081,Aoda,Madhya Pradesh,Madhya Pradesh,Sheopur,Sip,"Chief Engineer, Yamuna , Mpwrd",16.7,1934,Ganga,349.45,348.23,45.05,1246.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"25° 30' 0.000"" N","76° 46' 58.000"" E",3682762.4931999967,4166560.2864999995
MP08HH0082,Kaketo,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Yamuna , Mpwrd",37.64,1934,Ganga,345.79,342.75,80.51,5625.0,0,,Irrigation / Other Benefits,"25° 53' 57.000"" N","77° 41' 42.000"" E",3773413.1356000006,4208171.177499998
MP08MH0083,Lower Palakmati,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",15.24,1935,Narmada,465.43,465.43,7.78,430.0,0,·  ZONED EARTHEN DAM,Irrigation,"23° 10' 17.000"" N","77° 54' 43.000"" E",3790346.568099998,3911566.349800002
MP08LH0084,Jamonia,Madhya Pradesh,Madhya Pradesh,Sehore,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",14.12,1938,Ganga,161.43,160.9,12.45,216.56,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 14' 24.000"" N","77° 6' 33.000"" E",3709905.427199997,3920440.186900001
MP08MH0086,Yashvant Sagar,Madhya Pradesh,Madhya Pradesh,Indore,,Municipal Corporation Indore,18.0,1939,Ganga,524.0,524.0,20.0,1587.0,0,•	EARTHFILL (EMBANKMENT),Water Supply,"22° 49' 31.000"" N","75° 41' 30.000"" E",3566319.5622000024,3879054.647
MP08MH0090,Chichbund,Madhya Pradesh,Madhya Pradesh,Seoni,Wainganga,"Chief Engineer, Wainganga Basin, Seoni",17.37,1951,Godavari,553.52,552.6,7.76,101.0,1280,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 6' 0.000"" N","79° 39' 11.000"" E",3964876.884499997,3793686.978100002
MP08LH0093,Sirsa,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Yamuna , Mpwrd",11.89,1950,Ganga,327.05,326.14,7.37,107.0,0,OTHER,Irrigation,"26° 2' 44.000"" N","77° 52' 59.000"" E",3792137.0483999997,4223791.127599999
MP08MH0094,Gopalpura,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ujjain, Mpwrd",18.9,2014,Ganga,438.6,437.4,2.78,245.7,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 17' 25.000"" N","75° 31' 42.000"" E",3554932.3869000003,4038588.8286999986
MP08LH0095,Sarlai,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Narmada Tapti Basin, Mpwrd, Indore",10.66,1955,Narmada,58.7,56.7,1.12,52.02,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"21° 49' 5.000"" N","75° 6' 1.000"" E",3503008.3335999995,3771655.180300001
MP08MH0099,Mola Dam,Madhya Pradesh,Madhya Pradesh,Ashok nagar,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",25.0,1956,Ganga,145.274,144.207,13.05,340.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 22' 26.000"" N","77° 52' 39.000"" E",3788855.642499998,4042196.8539999984
MP08MH0100,Sampna,Madhya Pradesh,Madhya Pradesh,Betul,Sampna N,"Chief Engineer, Narmadapuram, Mpwrd",21.95,1956,Narmada,695.7,694.48,16.94,15930.0,0,,Irrigation / Other Benefits,"21° 51' 38.000"" N","77° 59' 34.000"" E",3796433.8158000037,3769080.2980000004
MP08MH0101,Dukrikheda,Madhya Pradesh,Madhya Pradesh,Narmadapuram,Ghorghora Nala,"Chief Engineer, Narmadapuram, Mpwrd",18.67,1956,Narmada,379.78,378.56,12.229,369.0,1950,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 39' 12.000"" N","78° 21' 56.000"" E",3835236.8698000014,3854704.1964999996
MP08LH0103,Kadodia,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ujjain, Mpwrd",10.06,1957,Ganga,311.77,310.67,1.115,81.97,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 30' 40.000"" N","76° 8' 44.000"" E",3614033.7026999965,3952186.418400001
MP08LH0104,Barbatpur,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",10.1,1957,Narmada,154.53,154.23,1.028,40.0,0,·  ZONED EARTHEN DAM,Irrigation,"23° 8' 15.000"" N","77° 43' 14.000"" E",3771072.030699998,3908184.2716999985
MP08LH0105,Banda Bedra,Madhya Pradesh,Madhya Pradesh,,Baen,"Chief Engineer, Chambal Betwa Basin, Mpwrd",12.2,1957,Ganga,43.88,42.98,1.891,77.03,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 44' 43.000"" N","77° 48' 27.000"" E",3780830.343699999,3974042.298700001
MP08LH0106,Raipura,Madhya Pradesh,Madhya Pradesh,Dindori,,"Chief Engineer, Wainganga Basin, Seoni",10.21,1958,Narmada,695.0,694.39,1.31,57.7,0,•	EARTHFILL (EMBANKMENT),Irrigation,"22° 53' 58.000"" N","81° 0' 44.000"" E",4101848.2704000026,3880844.408300001
MP08LH0107,Sudra,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",10.67,1958,Ganga,452.62,452.62,1.65,97.0,0,·  ZONED EARTHEN DAM,Irrigation,"23° 15' 2.000"" N","77° 43' 42.000"" E",3772051.0473000035,3920448.0582999997
MP08LH0108,Shivgarth Bedli,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ujjain, Mpwrd",26.9,1958,Mahi,452.6,451.7,3.038,132.42,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 20' 50.000"" N","74° 52' 29.000"" E",3486180.1856999993,3938454.973000001
MP08LH0109,Dhamdhusar,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",10.06,1958,Ganga,462.99,462.38,2.589,82.1,0,·  ZONED EARTHEN DAM,Irrigation,"23° 1' 56.000"" N","77° 42' 5.000"" E",3768960.741899997,3896783.5824000016
MP08LH0110,Dahod,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",13.73,1958,Ganga,459.94,459.94,28.08,393.0,0,·  ZONED EARTHEN DAM,Irrigation,"23° 1' 56.000"" N","77° 29' 15.000"" E",3747464.406499997,3897150.6341999993
MP08MH0113,Moti Nalla,Madhya Pradesh,Madhya Pradesh,Damoh,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",15.64,1959,Ganga,356.0,355.5,2.89,164.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 48' 28.000"" N","79° 49' 19.000"" E",3982208.8329000026,3979135.715999998
MP08MH0114,Gagan,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Narmada Tapti Basin, Mpwrd, Indore",18.28,1959,Narmada,202.54,201.17,8.34,365.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 15' 19.000"" N","75° 50' 33.000"" E",3579671.467100002,3816713.6959999986
MP08MH0115,Jabera,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",20.03,1959,Ganga,376.85,375.8,4.05,147.5,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 33' 30.000"" N","79° 42' 58.000"" E",3971579.481399998,3952063.590399999
MP08HH0116,Morwan,Madhya Pradesh,Madhya Pradesh,Neemuch,,"Chief Engineer, Ujjain, Mpwrd",31.08,1959,Ganga,504.6,503.53,16.46,218.55,1134,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 38' 5.000"" N","75° 0' 1.000"" E",3503722.8735999987,4077742.770399999
MP08LH0117,Lilgi Reservoir,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ganga Basin Rewa, Mpwrd",13.72,1938,Ganga,355.925,354.925,2.4,171.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 15' 43.000"" N","80° 44' 9.000"" E",4073265.958499998,4028639.6460000016
MP08MH0118,Jalgaon,Madhya Pradesh,Madhya Pradesh,Balaghat,,"Chief Engineer, Wainganga Basin, Seoni",16.46,1954,Narmada,602.7,601.8,2.333,39.16,835,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"22° 7' 57.000"" N","80° 23' 15.000"" E",4039219.0604000017,3797228.2738000005
MP08MH0123,Satak,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Narmada Tapti Basin, Mpwrd, Indore",25.0,1966,Narmada,197.76,195.73,19.8,770.32,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 3' 19.000"" N","75° 32' 14.000"" E",3548129.403999999,3795942.289500002
MP08HH0124,Gandhi Sagar,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ujjain, Mpwrd",62.17,1960,Ganga,399.9,399.9,7164.96,13705.0,0,,Irrigation / Hydropower,"24° 42' 2.000"" N","75° 33' 11.000"" E",3558798.417800002,4083050.5047000013
MP08LH0125,Barrach,Madhya Pradesh,Madhya Pradesh,Panna,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",12.08,1961,Ganga,58.52,57.45,1.5,152.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 37' 13.000"" N","80° 9' 14.000"" E",4015280.0727000013,4067375.9439999983
MP08HH0126,Tejgarh,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",31.69,1961,Ganga,363.35,362.35,6.79,250.54,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 36' 25.000"" N","79° 24' 21.000"" E",3940539.5320999995,3957439.4563999996
MP08LH0128,Singhpur,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ganga Basin Rewa, Mpwrd",12.5,1962,Ganga,411.08,410.33,2.73,132.54,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 45' 23.000"" N","80° 33' 30.000"" E",4055379.8091999963,4082261.7135000005
MP08MH0129,Nahatra,Madhya Pradesh,Madhya Pradesh,Alirajpur,Tukrj N,"Chief Engineer, Narmada Tapti Basin, Mpwrd, Indore",15.39,1962,Narmada,98.0,86.5,3.14,43.41,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 21' 46.000"" N","74° 36' 17.000"" E",3455031.759499997,3832624.4888999984
MP08MH0130,Dhuandhar,Madhya Pradesh,Madhya Pradesh,Mandla,,"Chief Engineer, Wainganga Basin, Seoni",27.19,1962,Narmada,483.24,482.32,5.266,134.51,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 27' 23.000"" N","80° 18' 43.000"" E",4031494.164499998,3832392.0238000005
MP08MH0132,Daroli,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",22.08,1962,Ganga,407.67,406.67,4.86,225.8,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 21' 8.000"" N","79° 24' 41.000"" E",3940979.929399997,3929774.704599999
MP08MH0133,Hathaikheda,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",17.1,1962,Ganga,474.25,474.18,16.27,133.3,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Water Supply / Industrial,"23° 16' 6.000"" N","77° 29' 52.000"" E",3748952.7030000016,3922770.3671000004
MP08MH0142,Chandania,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ganga Basin Rewa, Mpwrd",16.8,1964,Ganga,41.6,41.45,1.228,13.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 10' 51.000"" N","81° 20' 21.000"" E",4134453.597900003,3911677.4521000013
MP08LH0143,Jambar,Madhya Pradesh,Madhya Pradesh,Vidisha,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",11.2,1964,Ganga,427.96,427.03,1.32,40.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 33' 2.000"" N","77° 45' 18.000"" E",3775245.772,3952980.9408
MP08MH0144,Simrar,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Wainganga Basin, Seoni",25.6,1968,Ganga,408.8,407.66,13.08,264.49,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 43' 23.000"" N","80° 25' 33.000"" E",4042576.675499998,3969988.003899999
MP08MH0145,Nandanwara,Madhya Pradesh,Madhya Pradesh,Tikamgarh,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",17.68,1964,Ganga,309.98,308.61,25.5,529.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"25° 4' 15.000"" N","78° 45' 24.000"" E",3876979.3057999983,4116852.6853
MP08LH0146,Tehraka,Madhya Pradesh,Madhya Pradesh,niwari,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",13.06,1964,Ganga,262.28,261.05,6.03,125.0,1980,· HOMOGENEOUS EARTHEN DAM,Irrigation,"25° 17' 20.000"" N","78° 54' 19.000"" E",3891867.270999998,4140420.0522000007
MP08MH0148,Bhitrigarh,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Wainganga Basin, Seoni",19.4,1967,Ganga,462.07,460.85,5.48,53.94,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 37' 29.000"" N","80° 24' 59.000"" E",4041663.9416000023,3959306.2974999994
MP08MH0149,Ratapani,Madhya Pradesh,Madhya Pradesh,Raisen,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",20.11,1962,Ganga,460.86,459.41,15.146,72.82,0,·  ZONED EARTHEN DAM,Irrigation,"22° 57' 2.000"" N","77° 41' 56.000"" E",3768564.6334000006,3887919.4875999987
MP08MH0152,Geolari,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",13.41,1986,Ganga,39.32,38.41,1.53,65.47,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 16' 41.000"" N","79° 14' 18.000"" E",3924171.333499998,4030403.0742999986
MP08MH0154,Virla,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Narmada Tapti Basin, Mpwrd, Indore",19.24,1966,Narmada,154.4,153.2,3.73,242.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 29' 59.000"" N","75° 23' 18.000"" E",3534639.163900003,3844680.586599998
MP08HH0155,Sidhi,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ganga Basin Rewa, Mpwrd",45.5,1965,Ganga,78.79,77.36,6.903,65.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 21' 37.000"" N","81° 53' 16.000"" E",4187815.6964000016,4040386.3828999996
MP08MH0156,Piploda,Madhya Pradesh,Madhya Pradesh,Shivpuri,,"Chief Engineer, Yamuna , Mpwrd",21.03,1966,Ganga,34.17,32.61,4.758,253.43,0,•	EARTHFILL (EMBANKMENT),Irrigation,"25° 47' 38.000"" N","77° 30' 10.000"" E",3754316.355300002,4197052.7962
MP08MH0158,Barnoo,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Wainganga Basin, Seoni",24.6,1966,Narmada,421.35,419.48,9.9,26.408,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing / Other Benefits,"23° 20' 31.000"" N","80° 6' 55.000"" E",4011559.855300002,3928539.9844000004
MP08MH0159,Sendpa,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",15.66,1966,Ganga,306.1,304.5,6.74,0.0,0,•	EARTHFILL (EMBANKMENT),Irrigation,"24° 36' 32.000"" N","79° 19' 59.000"" E",3933771.537299998,4066287.3200000003
MP08LH0573,Chargaon,Madhya Pradesh,Madhya Pradesh,Seoni,,"Chief Engineer, Wainganga Basin, Seoni",15.12,1988,Godavari,44.34,43.28,0.985,45.44,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Fishing,"21° 57' 11.000"" N","79° 28' 31.000"" E",3946820.0675000027,3777778.9263000004
MP08LH0574,Silkheda,Madhya Pradesh,Madhya Pradesh,Sehore,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",12.31,1985,Ganga,144.6,143.69,3.3,104.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 33' 35.000"" N","77° 14' 58.000"" E",3724658.2375999987,3954873.495000001
MP08MH0576,Chhewla,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",12.57,1985,Ganga,456.5,455.5,1.27,43.67,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 26' 31.000"" N","79° 0' 4.000"" E",3899910.979199998,3939750.0161999986
MP08LH0579,Karoli,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ujjain, Mpwrd",14.76,1985,Narmada,147.0,146.0,1.6458,120.65,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 4' 33.000"" N","75° 56' 7.000"" E",3588486.4931999967,3796954.7375000007
MP08LH0583,Bharla,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ujjain, Mpwrd",15.0,1987,Ganga,482.8,481.28,1.02,60.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 29' 27.000"" N","75° 28' 50.000"" E",3547394.201700002,3951964.1992999986
MP08MH0584,Koka,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Ganga Basin Rewa, Mpwrd",22.9,1985,Ganga,166.4,165.35,3.504,78.9,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 18' 12.000"" N","81° 12' 0.000"" E",4119443.2383999974,4033452.1253000014
MP08LH0585,Lolki,Madhya Pradesh,Madhya Pradesh,Agar Malwa,,"Chief Engineer, Ujjain, Mpwrd",10.1,1985,Ganga,503.0,502.25,1.35,102.88,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"24° 15' 26.000"" N","76° 7' 56.000"" E",3614922.9842000008,4033221.2716999985
MP08LH0586,Harduapondi,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Dhasan Ken Sagar, Mpwrd",13.0,1985,Ganga,363.63,362.71,2.11,128.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 38' 23.000"" N","79° 22' 8.000"" E",3936858.333300002,3961015.135499999
MP08MH0587,Salkanpur,Madhya Pradesh,Madhya Pradesh,Sehore,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",18.94,1985,Narmada,154.685,153.77,2.264,53.81,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"22° 43' 39.000"" N","77° 29' 57.000"" E",3748049.525600001,3864039.9822999984
MP08LH0588,Kohdarh,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Narmada Tapti Basin, Mpwrd, Indore",12.62,1985,Narmada,508.5,507.0,1.438,87.956,0,· HOMOGENEOUS EARTHEN DAM,Irrigation / Flood Control,"21° 37' 55.000"" N","76° 22' 32.000"" E",3631809.401299998,3747526.7008000016
MP08LH0590,Kalyanpura,Madhya Pradesh,Madhya Pradesh,,,"Chief Engineer, Chambal Betwa Basin, Mpwrd",11.33,1986,Ganga,93.5,92.6,2.68,54.9,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"23° 46' 0.000"" N","77° 19' 34.000"" E",3732758.4319999963,3977195.732900001
