PIC,dm_name,sdso,state,district,river,incharge,ht_found,cmp_year,basin,mx_wt_lel,frl,gs_st_cap,ds_sp_cap,dm_length,dm_type,purpose,latitude,longitude,Longitude,Latitude
MH294MH2948,Ghoti,Maharashtra,Maharashtra,,,"Swcd-Regional Water Conservation Officer, Amravati",11.5,1993,Godavari,287.0,285.5,2.32,264.53,846,·  ZONED EARTHEN DAM,Irrigation,"20° 0' 40.000"" N","78° 13' 15.000"" E",3817022.2317999974,3567716.772399999
MH294MH2949,Dhotra,Maharashtra,Maharashtra,Yavatmal,,"Swcd-Regional Water Conservation Officer, Amravati",12.17,2005,Godavari,290.9,289.6,1.055,150.0,0,·  ZONED EARTHEN DAM,Irrigation,"20° 25' 30.000"" N","78° 25' 36.000"" E",3838692.9213000014,3612486.960000001
MH294MH2950,Maregaon,Maharashtra,Maharashtra,,,"Swcd-Regional Water Conservation Officer, Amravati",13.0,2009,Godavari,114.5,113.5,2.8,290.4,398,·  ZONED EARTHEN DAM,Irrigation,"20° 5' 17.000"" N","78° 48' 21.000"" E",3877255.5122999996,3575453.4800000004
MH294MH2951,Pahur Tanda,Maharashtra,Maharashtra,Yavatmal,,"Swcd-Regional Water Conservation Officer, Amravati",13.8,1975,Godavari,362.3,360.9,1.57,129.8,350,·  ZONED EARTHEN DAM,Irrigation,"20° 14' 13.000"" N","78° 23' 11.000"" E",3834329.3319000006,3592079.7476999983
MH294MH2952,Zatala,Maharashtra,Maharashtra,Yavatmal,,"Swcd-Regional Water Conservation Officer, Amravati",14.46,1981,Godavari,413.0,411.5,1.3649,215.0,798,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"19° 49' 0.000"" N","78° 0' 5.000"" E",3794154.8374999985,3546862.061999999
MH294MH2953,Kasola,Maharashtra,Maharashtra,Yavatmal,,"Swcd-Regional Water Conservation Officer, Amravati",12.65,2013,Godavari,328.8,327.6,1.605,230.0,0,·  ZONED EARTHEN DAM,Irrigation,"20° 12' 55.000"" N","77° 18' 1.000"" E",3722783.2282000035,3591430.0711999983
MH294LH2954,Ghanmukh,Maharashtra,Maharashtra,,Penganga,"Swcd-Regional Water Conservation Officer, Amravati",11.5,2003,Godavari,1.1329,357.35,1.1329,205.0,0,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"19° 54' 2.000"" N","77° 14' 21.000"" E",3715837.980700001,3557315.564199999
MH294MH2955,Gajipur,Maharashtra,Maharashtra,,Chulan Nala,"Swcd-Regional Water Conservation Officer, Amravati",12.8,2001,Godavari,105.3,103.8,1.147,195.0,0,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"19° 56' 5.000"" N","77° 28' 58.000"" E",3740975.565899998,3560563.3123000003
MH294LH2956,Pofali,Maharashtra,Maharashtra,,Nilku N,"Swcd-Regional Water Conservation Officer, Amravati",20.74,1972,Godavari,304.49,33044901.05,1.65,219.3,0,·  ZONED EARTHEN DAM,Irrigation,"19° 41' 31.000"" N","77° 36' 36.000"" E",3753617.382299997,3533917.1218000017
MH294HH2957,Dhanj Tanda,Maharashtra,Maharashtra,,Dhanwada N,"Swcd-Regional Water Conservation Officer, Amravati",22.5,1975,Godavari,1.65,457.9,1.17,280.4,0,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"20° 3' 34.000"" N","77° 41' 19.000"" E",3762376.639700003,3573769.553199999
MH294MH2958,Ambona,Maharashtra,Maharashtra,,Lonadi N,"Swcd-Regional Water Conservation Officer, Amravati",14.25,1968,Godavari,428.04,357.35,2.3,215.0,0,·  ZONED EARTHEN DAM,Irrigation,"19° 36' 44.000"" N","77° 42' 44.000"" E",3764013.5157999992,3525065.3781000003
MH294LH2959,Senad,Maharashtra,Maharashtra,,,"Swcd-Regional Water Conservation Officer, Amravati",13.5,1976,Godavari,3447.6,339.5,1.42,242.72,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"19° 42' 14.000"" N","77° 41' 21.000"" E",3761799.1701000035,3535080.9125000015
MH287LH2960,Mandve Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",29.31,1992,West Flowing Rivers from Tapi to Tadri,122.5,121.5,3.26,545.7,0,·  ZONED EARTHEN DAM,Irrigation,"17° 33' 52.000"" N","73° 59' 20.000"" E",3370587.718500003,3313341.936999999
MH294MH2961,Piranji,Maharashtra,Maharashtra,,,"Swcd-Regional Water Conservation Officer, Amravati",21.81,1976,Godavari,435.9,436.8,1.057,275.0,0,·  ZONED EARTHEN DAM,Irrigation,"19° 37' 19.000"" N","77° 47' 52.000"" E",3772854.4629999995,3525982.9607000016
MH290LH2962,Valthan,Maharashtra,Maharashtra,,,"Wrd-Se, Command Area Authority Development, Jalgaon",14.15,1987,Tapi,410.3,408.5,2.176,710.0,1773,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"20° 21' 45.000"" N","74° 59' 6.000"" E",3485689.6523,3613942.590500001
MH287LH2963,Thoseghar Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",18.35,1989,Krishna,96.6,95.1,1.91,113.09,0,·  ZONED EARTHEN DAM,Irrigation,"17° 36' 4.000"" N","73° 49' 41.000"" E",3353933.1154000014,3318069.7963000014
MH290LH2964,Vavad,Maharashtra,Maharashtra,Nandurbar,,"Wrd-Se, Command Area Authority Development, Jalgaon",16.9,1975,Godavari,114.2,113.2,1.51,224.0,110,· HOMOGENEOUS EARTHEN DAM,Irrigation,"18° 40' 36.000"" N","77° 20' 47.000"" E",3724362.467600003,3423841.407200001
MH287LH2965,Kumthe Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",27.15,1995,Krishna,100.5,99.0,2.86,539.82,0,·  ZONED EARTHEN DAM,Irrigation,"17° 35' 56.000"" N","73° 57' 13.000"" E",3367057.4587000012,3317257.5069999993
MH287LH2966,Lodhawade Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",16.03,1975,Krishna,297.6,294.9,0.99,645.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 37' 49.000"" N","74° 37' 44.000"" E",3437840.4838000014,3317817.9043999985
MH290LH2967,Vitner,Maharashtra,Maharashtra,,,"Wrd-Se, Command Area Authority Development, Jalgaon",12.0,1975,Tapi,249.85,247.3,1.135,152.0,0,·  ZONED EARTHEN DAM,Irrigation,"20° 49' 36.000"" N","75° 32' 33.000"" E",3544440.1147999987,3662471.4628
MH287LH2968,Dhakani Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",18.5,1994,Krishna,99.0,97.0,3.05,802.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 35' 13.000"" N","74° 40' 51.000"" E",3443095.9990999997,3312883.7019999996
MH293SH2969,Mit Pusane,Maharashtra,Maharashtra,Pune,,"Swcd-Regional Water Conservation Officer, Swcd, Pune",16.67,2005,Krishna,99.0,97.25,0.1447,614.34,0,·  ZONED EARTHEN DAM,Irrigation,"18° 38' 28.000"" N","73° 36' 29.000"" E",3336064.729199998,3432433.111299999
MH290LH2970,Wadi,Maharashtra,Maharashtra,Dhule,,"Wrd-Se, Command Area Authority Development, Jalgaon",15.58,1982,Tapi,112.1,110.6,1.48,253.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"21° 9' 3.000"" N","74° 34' 32.000"" E",3447018.5376999974,3701150.727400001
