SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
75,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-02-06 08:30:00,12.2
76,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-03-06 08:30:00,12.0
77,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-05-06 08:30:00,3.6
78,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-06 08:30:00,12.0
79,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-10-06 08:30:00,32.2
80,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-11-06 08:30:00,13.2
81,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-06-15 08:30:00,4.6
82,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-06-17 08:30:00,8.2
83,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-06-18 08:30:00,38.4
84,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-06-20 08:30:00,3.8
85,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-06-21 08:30:00,1.2
86,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-06-22 08:30:00,13.2
87,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-06-30 08:30:00,1.2
88,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-02-07 08:30:00,3.6
89,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-03-07 08:30:00,5.6
90,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-04-07 08:30:00,6.2
91,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-05-07 08:30:00,25.0
92,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-07-07 08:30:00,2.8
93,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-09-07 08:30:00,0.6
94,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-07-18 08:30:00,3.4
95,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-07-22 08:30:00,4.6
96,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-07-23 08:30:00,16.2
97,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-07-24 08:30:00,2.0
98,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-07-25 08:30:00,4.6
99,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-07-30 08:30:00,54.4
100,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-01-08 08:30:00,2.2
101,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-02-08 08:30:00,0.8
102,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-03-08 08:30:00,11.2
103,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-04-08 08:30:00,1.6
104,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-05-08 08:30:00,4.6
105,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-09-08 08:30:00,2.2
106,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-10-08 08:30:00,1.2
107,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-11-08 08:30:00,10.2
108,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-12-08 08:30:00,4.8
109,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-14 08:30:00,0.8
110,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-15 08:30:00,12.0
111,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-16 08:30:00,28.0
112,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-19 08:30:00,34.2
113,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-20 08:30:00,18.2
114,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-22 08:30:00,3.2
115,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-24 08:30:00,1.2
116,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-25 08:30:00,9.6
117,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-08-29 08:30:00,18.6
118,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-01-09 08:30:00,20.6
119,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-02-09 08:30:00,11.2
120,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-04-09 08:30:00,46.8
121,Nandadih,Damodar Valley Corporation(DVC),10,Bihar,210,NAWADA,GOBINDPUR,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,23.75972222,80.01111111,2022-05-09 08:30:00,4.2
