Dist_Name,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Hapur,58,1,1831968,28.0,1.533241589,0.006144137,1.527097452
Harda,9,3,669689,6.0,1.414901297,0.286810929,1.128090368
Hardoi,77,3,4789431,16.0,4.375049349,0.028511914,4.346537435
Hardwar,15,0,2449262,6.0,2.049997612,0.174571933,1.875425679
Hassan,61,28,1843387,9.0,0.65942209,0.611212696,0.048209394
Hathras,46,0,1789810,27.0,1.329597887,0.0,1.329597887
Haveri,67,4,1601523,13.0,1.243636673,0.202049296,1.041587377
Hazaribagh,1,1,2130620,1.0,0.550169328,0.473117617,0.077051711
Hingoli,82,5,1419813,4.0,1.332394248,1.334570744,0.002176496
Hisar,54,3,1943429,8.0,4.240875674,0.000529024,4.24034665
Hojai,57,1,1112181,10.0,5.264427439,0.109771283,5.154656156
Hooghly,175,18,5689338,10.0,9.728119034,0.332437756,9.395681278
Hoshangabad,53,0,1371450,5.0,2.346467017,0.970690301,1.375776716
Hoshiarpur,77,1,1743086,7.0,1.124097105,0.108432652,1.015664453
Howrah,170,8,4370011,9.0,22.79593904,3.23081923,19.56511981
Hyderabad,101,4,3345250,7.0,0.522269753,0.52199262,0.000277133
Idukki,275,71,1048101,4.0,0.789197649,0.784504282,0.004693367
Imphal East,2,0,434974,5.0,11.82536756,0.032628883,11.79273868
Imphal West,2,0,589610,5.0,3.366895401,0.042914083,3.323981318
Indore,57,6,4193901,5.0,0.351694942,0.088367293,0.263327649
Jabalpur,54,6,2843254,5.0,1.701345896,1.091398785,0.609947111
Jagatsinghapur,44,0,1268480,31.0,3.152171799,3.230232986,0.078061187
Jagitial,1,0,1063443,14.0,1.696878929,0.394204469,1.30267446
Jaipur,190,14,8193632,12.0,0.300794996,0.001876113,0.298918883
Jaisalmer,64,14,848518,7.0,0.490864938,0.007376732,0.483488206
Jajapur,33,0,2048302,30.0,12.17977255,0.632633041,11.54713951
Jalandhar,56,39,2446748,6.0,5.423173348,0.0,5.423173348
Jalaun,145,6,1897451,22.0,5.196857221,0.392709551,4.80414767
Jalgaon,75,26,4760079,3.0,1.523114248,0.504330321,1.018783927
Jalna,157,13,2330103,5.0,0.710994286,0.649960977,0.061033309
Jalor,113,4,2252706,25.0,1.350286581,0.005874951,1.34441163
Jalpaiguri,366,20,2766173,17.0,4.914165317,0.3463879,4.567777417
Jammu,274,80,1766664,5.0,2.064462057,0.475037449,1.589424608
Jamnagar,236,8,1509267,20.0,0.665233515,0.663125755,0.00210776
Jamtara,1,0,923311,6.0,1.614168247,0.953600878,0.660567369
Jamui,80,0,2203798,29.0,0.5711396,0.157890825,0.413248775
Jangoan,1,0,609289,14.0,0.433243486,0.315476097,0.117767389
Janjgir - Champa,2,2,2018726,2.0,2.305607554,0.376710728,1.928896826
Jashpur,2,0,942821,1.0,0.612002702,0.04317362,0.568829082
Jaunpur,200,1,4985265,19.0,4.255610411,0.012266083,4.243344328
Jayashankar,4,1,423171,18.0,5.683848444,0.464301349,5.219547095
Jehanabad,87,0,1409612,27.0,10.28041514,0.001189369,10.27922577
Jhabua,3,0,1290473,7.0,0.409073564,0.130395664,0.2786779
Jhajjar,4,0,999200,7.0,1.433630243,0.004170675,1.429459568
Jhalawar,35,6,1669164,17.0,1.321031828,0.380898218,0.94013361
Jhansi,127,3,2198410,27.0,2.23315222,0.409255286,1.823896934
Jhargram,0,0,1247343,,1.847517048,0.072751655,1.774765393
Jharsuguda,44,0,621362,31.0,2.936283719,3.100195768,0.163912049
Jhunjhunun,22,2,2449782,6.0,0.337331328,0.000184082,0.337147246
Jind,31,6,1489426,6.0,1.133905451,0.0,1.133905451
Jiribam,0,0,56027,7.0,5.343630309,0.111022838,5.232607471
Jodhpur,154,9,4624883,13.0,0.356570143,0.004713804,0.351856339
Jogulamba Gadwal,1,0,677578,34.0,2.863639705,1.45893785,1.404701855
Jorhat,205,4,1037431,13.0,7.736947443,1.082349707,6.654597736
Junagadh,272,12,1644700,16.0,1.288798667,0.096341257,1.19245741
Kabeerdham,0,0,1131600,2.0,0.818669924,0.253989706,0.564680218
Kachchh,123,10,2654359,24.0,12.67467755,9.585998161,3.088679389
Kaimur (bhabua),88,0,1966164,27.0,2.869921368,0.262638721,2.607282647
Kaithal,30,3,1238219,6.0,3.116757085,0.00046637,3.116290715
Kakching,0,0,180789,7.0,3.624802358,0.104413907,3.520388451
Kalaburagi,112,16,2925453,8.0,1.1108725,0.548079914,0.562792586
Kalahandi,149,0,1864838,22.0,0.969360733,0.57131064,0.398050093
Kalimpong,12,0,214033,6.0,1.209230259,0.250831636,0.958398623
Kallakurichi,20,4,1575629,10.0,1.726935239,0.016931089,1.71000415
Kamareddy,6,1,1051890,20.0,1.880129371,0.928824065,0.951305306
Kamjong,0,0,61519,7.0,0.610853038,0.129302233,0.481550805
Kamle,3,1,25202,5.0,2.140222737,0.304270955,1.835951782
Kamrup,181,13,1546068,8.0,10.03897902,1.476174408,8.562804612
Kamrup Metropolitan,7,2,1437551,1.0,14.80454405,1.622970103,13.18157395
Kancheepuram,28,6,1542112,6.0,2.694220448,0.935998334,1.758222114
Kandhamal,142,0,832740,26.0,0.573783436,0.032063654,0.541719782
Kangpokpi,0,0,268532,7.0,0.701396511,0.166897675,0.534498836
Kangra,173,58,1693351,4.0,1.044453548,0.966952237,0.077501311
Kannauj,71,7,1938161,21.0,3.637205694,0.028212116,3.608993578
Kanniyakumari,50,5,2092603,6.0,0.216023548,0.214453049,0.001570499
Kannur,153,53,2666656,5.0,3.447996641,1.090489394,2.357507247
Kanpur Dehat,131,4,2010692,16.0,3.309974643,0.222688571,3.087286072
Kanpur Nagar,112,1,4932257,20.0,5.234616541,0.360877047,4.873739494
Kapurthala,85,2,865875,6.0,3.634049856,0.260845183,3.373204673
Karaikal,2,0,220595,5.0,1.148059852,1.327174677,0.179114825
Karauli,10,3,1777972,35.0,0.633480722,0.197979321,0.435501401
Karbi Anglong,66,5,693265,20.0,1.843407844,0.000151248,1.843256596
Kargil,46,1,154801,1.0,0.468179461,0.181839586,0.286339875
Karimganj,116,14,1393118,11.0,22.54591712,0.019195636,22.52672148
Karimnagar,140,1,1113366,7.0,1.016544336,1.029366402,0.012822066
Karnal,27,7,1700198,6.0,3.351988487,0.003219511,3.348768976
Karur,23,4,1234912,7.0,1.785192578,0.062914047,1.722278531
Kasaragod,108,40,1320168,6.0,3.02140911,0.717632918,2.303776192
Kasganj,45,3,1633713,26.0,11.5492555,0.061598326,11.48765717
Kathua,112,21,639161,4.0,1.038752523,0.993134601,0.045617922
Katihar,221,2,3735857,20.0,13.34677951,1.934686307,11.4120932
Katni,10,0,1481656,6.0,1.074565636,0.544194583,0.530371053
Kaushambi,41,1,1981279,21.0,5.838259619,0.615851316,5.222408303
Kendrapara,57,0,1692082,24.0,23.2512603,4.951021358,18.30023894
Kendujhar,54,3,2118363,20.0,1.491690841,0.370501647,1.121189194
Khagaria,166,10,2060105,23.0,12.48011269,0.872843213,11.60726948
Khammam,177,0,1521069,7.0,0.560077929,0.458663756,0.101414173
Kheda,102,6,2023119,15.0,2.857113599,0.01148306,2.845630539
Kheri,146,6,4820329,16.0,7.086100462,0.145950617,6.940149845
Khordha,28,0,2574912,29.0,3.367308168,1.214771584,2.152536584
Khowai,10,1,324410,4.0,0.889218209,0.0,0.889218209
Khunti,3,2,661665,2.0,0.760830841,0.025055895,0.735774946
Kinnaur,225,64,87703,5.0,0.710681995,0.171089112,0.539592883
Kiphire,4,0,54731,19.0,1.066560501,0.0,1.066560501
Kishanganj,143,0,2214692,22.0,9.339752372,0.190724422,9.14902795
Kishtwar,55,29,231938,5.0,0.405119324,0.12316298,0.281956344
Kodagu,57,17,575814,6.0,0.795547476,0.154509876,0.6410376
Kodarma,1,0,894355,2.0,0.4952359,0.493650006,0.001585894
Kohima,5,0,311382,6.0,0.321623488,0.0,0.321623488
Kokrajhar,71,1,1311786,13.0,2.564133007,0.046972576,2.517160431
Kolar,78,21,1625062,8.0,0.261632224,0.109739276,0.151892948
Kolasib,7,0,125377,4.0,1.964392845,0.380323566,1.584069279
Kolhapur,258,32,3952672,4.0,1.531674907,0.739128811,0.792546096
Kolkata,262,79,2896202,3.0,12.06523072,10.21461453,1.85061619
Kollam,177,60,2503307,5.0,2.689873614,2.697055096,0.007181482
Kondagaon,0,0,656011,,1.123981488,0.045498909,1.078482579
Koppal,74,3,1551558,11.0,1.056602421,0.555929835,0.500672586
Koraput,198,4,1573932,18.0,1.383903026,1.198572767,0.185330259
Korba,1,1,1414402,2.0,1.961395836,1.651028381,0.310367455
Koriya,1,0,763582,1.0,0.581343442,0.102575658,0.478767784
Kota,206,266,2286428,12.0,2.883610805,0.503964127,2.379646678
Kottayam,200,90,2015065,5.0,3.699266664,2.178531176,1.520735488
Kozhikode,181,45,3349063,5.0,1.40055533,0.599372106,0.801183224
Kra Daadi,7,2,93220,5.0,1.846265574,0.008415915,1.837849659
Krishna,210,1,4751934,8.0,4.604283716,3.894573341,0.709710375
Krishnagiri,35,4,2151735,6.0,1.019903242,0.155619892,0.86428335
Kulgam,49,7,578651,6.0,0.367091191,0.344100009,0.022991182
Kullu,371,205,460044,4.0,0.26843604,0.052025107,0.216410933
Kumuram Bheem Asifabad,1,0,561927,1.0,1.762360552,0.6274381,1.134922452
Kupwara,37,2,1053524,5.0,0.534056594,0.014099434,0.51995716
Kurnool,161,108,4618046,7.0,0.793739864,0.504632198,0.289107666
Kurukshetra,17,0,1080970,7.0,5.505038063,0.003818992,5.501219071
Kurung Kumey,17,3,77223,4.0,0.581168345,0.025194178,0.555974167
Kushinagar,38,0,4300787,25.0,4.446808531,0.238357002,4.208451529
Lahul & Spiti,58,1,31023,6.0,0.310107104,0.321979852,0.011872748
