SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
20,Dhatarwadi   Hindorana,Gujarat SW GW,24,Gujarat,439,Amreli,RAJULA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.00722222,71.42972222,Yes,0.0000,42.47,05-10-1970 18:00,42.735
21,Dhatarwadi   Hindorana,Gujarat SW GW,24,Gujarat,439,Amreli,RAJULA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.00722222,71.42972222,Yes,0.0000,42.47,10-10-1970 00:00,42.669
22,Dhatarwadi   Hindorana,Gujarat SW GW,24,Gujarat,439,Amreli,RAJULA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.00722222,71.42972222,Yes,0.0000,42.47,13-10-1970 00:00,42.629
23,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,05-12-1969 10:00,92.059
24,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,31-12-1969 13:00,91.445
25,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,31-12-1969 14:00,91.44
26,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,05-06-1970 13:00,91.448
27,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,01-10-1970 17:00,91.442
28,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,05-11-1970 02:00,91.454
29,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,19-05-1972 03:00,91.44
30,Falku   Rapar,Gujarat SW GW,24,Gujarat,449,Kachchh,RAPAR,-,-,Gajansar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Gajansar,23.56638889,70.65277778,No,0,91.46,04-09-1973 11:00,91.773
31,Fulzar dam,Gujarat SW GW,24,Gujarat,447,Jamnagar,KALAVAD,-,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-, -,22.24371500,70.27295500,No,0,102.30,09-02-1970 00:00,23.015
32,Gagadio   sanaliya,Gujarat SW GW,24,Gujarat,439,Amreli,LILIA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,Gagadio,-,-,Gagadio,21.54944444,71.42388889,Yes,0.0000,94.85,03-10-1970 19:00,94.796
33,Gagadio   sanaliya,Gujarat SW GW,24,Gujarat,439,Amreli,LILIA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,Gagadio,-,-,Gagadio,21.54944444,71.42388889,Yes,0.0000,94.85,04-11-1970 07:00,94.891
34,GAJANSAR RAVAPAR,Gujarat SW GW,24,Gujarat,449,Kachchh,NAKHATRANA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.51472222,69.07055556,No,0,65.30,08-06-1972 13:00,65.682
35,Ghelo-I,Gujarat SW GW,24,Gujarat,439,Amreli,BABRA,-,-,Ghelo,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Ghelo,21.96638889,71.39083333,No,0,161.00,01-01-1970 16:00,163.604
36,Ghelo   Vallabhipur,Gujarat SW GW,24,Gujarat,443,Bhavnagar,VALLABHIPUR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.88138889,71.87750000,No,0.0000,53.09,25-10-1970 14:00,53.123
37,Ghelo   Vallabhipur,Gujarat SW GW,24,Gujarat,443,Bhavnagar,VALLABHIPUR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.88138889,71.87750000,No,0.0000,53.09,19-11-1970 22:00,53.123
38,Gondli,Gujarat SW GW,24,Gujarat,457,Rajkot,KOTDA SANGANI,-,-,Bhadar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-, -,22.04583333,70.88194444,No,0,171.90,05-10-1970 05:00,45.996
39,Hanol,Gujarat SW GW,24,Gujarat,443,Bhavnagar,PALITANA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,Rajawal,-,-,Rajawal,21.62000000,71.74361111,No,0,88.96,10-11-1970 21:00,90.209
40,Hiran-2 dam,Gujarat SW GW,24,Gujarat,675,Gir Somnath,Talala,-,-,Hiran,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Hiran,21.02416667,70.47111111,No,0,51.76,07-10-1970 10:31,71.183
41,Hiran-I,Gujarat SW GW,24,Gujarat,448,Junagadh,TALALA,-,-,Hiran,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Hiran,21.20277778,70.66111111,No,0,197.90,17-03-1970 00:00,0
42,Hiran   Sasan-Gir,Gujarat SW GW,24,Gujarat,448,Junagadh,TALALA,-,-,Raval,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Raval,21.17527778,70.58666667,Yes,0.0000,133.45,06-10-1970 07:00,133.668
43,Jamnagar,Gujarat SW GW,24,Gujarat,447,Jamnagar,JAMNAGAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.46305556,70.07611111,Yes,0.0000,14.50,14-01-1970 02:00,14.377
44,Kalindri,Gujarat SW GW,24,Gujarat,456,Porbandar,KUTIYANA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.70861111,69.95611111,No,0,45.90,12-10-1970 12:00,52.476
45,Kalubhar dam,Gujarat SW GW,24,Gujarat,676,Botad,Gadhada,-,-,Kalubhar,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Kalubhar,21.86055556,71.63000000,No,0,56.90,02-01-1970 00:00,58.464
46,Kalubhar   Umarala,Gujarat SW GW,24,Gujarat,443,Bhavnagar,UMRALA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Shetrunji,21.84750000,71.80250000,No,0.0000,62.52,01-08-1970 20:00,62.925
47,Kalubhar   Umarala,Gujarat SW GW,24,Gujarat,443,Bhavnagar,UMRALA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Shetrunji,21.84750000,71.80250000,No,0.0000,62.52,12-10-1970 00:00,63.577
48,Kanodar,Gujarat SW GW,24,Gujarat,441,Banaskantha,PALANPUR,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,Umardasi,-,-,Umardasi,24.07388889,72.39388889,Yes,0.0000,172.28,11-04-1976 16:00,171.985
49,Keri   Goradka,Gujarat SW GW,24,Gujarat,443,Bhavnagar,GADHADA,-,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Utavali,22.02638889,71.60833333,No,0.0000,70.78,02-09-1970 00:00,70.423
50,Keri   Goradka,Gujarat SW GW,24,Gujarat,443,Bhavnagar,GADHADA,-,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Utavali,22.02638889,71.60833333,No,0.0000,70.78,09-10-1970 02:01,70.843
51,Keri   Goradka,Gujarat SW GW,24,Gujarat,443,Bhavnagar,GADHADA,-,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Utavali,22.02638889,71.60833333,No,0.0000,70.78,11-10-1970 12:00,70.841
52,Keri   Goradka,Gujarat SW GW,24,Gujarat,443,Bhavnagar,GADHADA,-,-,Utavali,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Utavali,22.02638889,71.60833333,No,0.0000,70.78,14-10-1970 14:00,70.842
53,Khambhaliya,Gujarat SW GW,24,Gujarat,448,Junagadh,VISAVADAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.39611111,70.65833333,Yes,0.0000,79.35,04-01-1970 07:00,79.244
54,Khambhaliya,Gujarat SW GW,24,Gujarat,448,Junagadh,VISAVADAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.39611111,70.65833333,Yes,0.0000,79.35,04-05-1974 18:00,79.714
55,Khambhaliya,Gujarat SW GW,24,Gujarat,448,Junagadh,VISAVADAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.39611111,70.65833333,Yes,0.0000,79.35,10-09-1975 19:00,78.781
56,Khari   Ziliya,Gujarat SW GW,24,Gujarat,455,Patan,CHANASMA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.69388889,72.17083333,No,0.0000,60.37,30-10-1970 00:00,60.664
57,KHOKHARA VARSAMEDI,Gujarat SW GW,24,Gujarat,449,Kachchh,ANJAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.14333333,70.10194444,Yes,0,29.00,14-01-1970 00:35,29.02
58,KHOKHARA VARSAMEDI,Gujarat SW GW,24,Gujarat,449,Kachchh,ANJAR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.14333333,70.10194444,Yes,0,29.00,03-12-1975 08:00,28.991
59,Kuvarika_Navavas,Gujarat SW GW,24,Gujarat,441,Banaskantha,DANTA,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,24.14277778,72.74027778,No,0,269.98,14-01-1970 18:00,269.991
60,Machhundri,Gujarat SW GW,24,Gujarat,675,Gir Somnath,Una,-,-,Machhundri,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Machhundri,20.97777778,70.92944444,No,0,99.50,12-11-1970 20:00,109.59
61,Madhuvanti,Gujarat SW GW,24,Gujarat,448,Junagadh,MENDARDA,-,-,Madhuvanti,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Madhuvanti,21.26194444,70.48805556,No,0,9.42,09-01-1970 13:00,165.176
62,Madhuvanti,Gujarat SW GW,24,Gujarat,448,Junagadh,MENDARDA,-,-,Madhuvanti,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Madhuvanti,21.26194444,70.48805556,No,0,9.42,15-08-1970 10:00,164.499
63,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,Yes,0.0000,39.24,08-07-1970 07:00,37.672
64,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,Yes,0.0000,39.24,29-10-1970 00:00,37.667
65,Majevadi,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Und,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Und,21.60972222,70.41166667,Yes,0.0000,39.24,03-03-1971 21:00,37.675
66,Malan,Gujarat SW GW,24,Gujarat,443,Bhavnagar,MAHUVA,-,-,Malan,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Malan,21.22305556,71.62833333,No,0,8.83,13-10-1970 13:00,10.443
67,Malan   Mahuva,Gujarat SW GW,24,Gujarat,443,Bhavnagar,MAHUVA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.08500000,71.75916667,Yes,0.0000,13.61,15-01-1970 00:00,15.302
68,Malan   Mahuva,Gujarat SW GW,24,Gujarat,443,Bhavnagar,MAHUVA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.08500000,71.75916667,Yes,0.0000,13.61,13-08-1970 03:00,13.725
69,Malan   Mahuva,Gujarat SW GW,24,Gujarat,443,Bhavnagar,MAHUVA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.08500000,71.75916667,Yes,0.0000,13.61,01-11-1970 02:00,13.472
70,Mitti dam,Gujarat SW GW,24,Gujarat,449,Kachchh,Naliya,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.32833333,68.82861111,No,0,16.19,08-09-1970 18:00,18.838
71,Mukteshwar,Gujarat SW GW,24,Gujarat,441,Banaskantha,Kheralu,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,24.04027778,72.62777778,No,0,193.06,30-07-1970 01:00,192.952
72,Mukteshwar,Gujarat SW GW,24,Gujarat,441,Banaskantha,Kheralu,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,24.04027778,72.62777778,No,0,193.06,11-11-1970 07:00,192.587
73,Mukteshwar,Gujarat SW GW,24,Gujarat,441,Banaskantha,Kheralu,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,24.04027778,72.62777778,No,0,193.06,02-10-1971 11:00,192.844
74,Munjiasar,Gujarat SW GW,24,Gujarat,439,Amreli,BAGASARA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.47444444,70.91722222,No,0,61.96,04-05-1974 19:00,63.038
75,NAREDA KOTHARA,Gujarat SW GW,24,Gujarat,449,Kachchh,Naliya,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.16388889,68.90888889,No,95.4000,95.00,03-11-1970 18:00,95.231
76,Niruna dam,Gujarat SW GW,24,Gujarat,449,Kachchh,NAKHATRANA,-,-,Bhurud,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.43861111,69.49666667,No,0,34.40,18-02-1970 22:00,34.453
77,Niruna dam,Gujarat SW GW,24,Gujarat,449,Kachchh,NAKHATRANA,-,-,Bhurud,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.43861111,69.49666667,No,0,34.40,07-09-1970 12:00,36.254
78,Niruna dam,Gujarat SW GW,24,Gujarat,449,Kachchh,NAKHATRANA,-,-,Bhurud,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.43861111,69.49666667,No,0,34.40,11-06-1972 15:00,36.253
79,Ozat-II,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Ozat,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Ozat,21.38444444,70.57861111,No,0,73.80,05-10-1970 00:00,77.537
80,Ozat-II,Gujarat SW GW,24,Gujarat,448,Junagadh,JUNAGADH,-,-,Ozat,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Ozat,21.38444444,70.57861111,No,0,73.80,08-10-1970 17:00,77.545
81,Padalio   muldharai,Gujarat SW GW,24,Gujarat,443,Bhavnagar,VALLABHIPUR,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.00944444,71.88611111,No,0.0000,56.26,21-10-1970 13:00,56.471
82,Padalio   muldharai,Gujarat SW GW,24,Gujarat,443,Bhavnagar,VALLABHIPUR,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.00944444,71.88611111,No,0.0000,56.26,16-11-1970 15:00,56.527
83,Padalio   muldharai,Gujarat SW GW,24,Gujarat,443,Bhavnagar,VALLABHIPUR,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,22.00944444,71.88611111,No,0.0000,56.26,15-02-1973 11:00,56.337
84,Pilucha,Gujarat SW GW,24,Gujarat,441,Banaskantha,VADGAM,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,23.98111111,72.52166667,Yes,0.0000,156.63,31-10-1970 16:00,156.653
85,Pilucha,Gujarat SW GW,24,Gujarat,441,Banaskantha,VADGAM,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,23.98111111,72.52166667,Yes,0.0000,156.63,16-11-1970 07:00,156.654
86,Pilucha,Gujarat SW GW,24,Gujarat,441,Banaskantha,VADGAM,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,23.98111111,72.52166667,Yes,0.0000,156.63,19-11-1970 14:00,156.632
87,Pilucha,Gujarat SW GW,24,Gujarat,441,Banaskantha,VADGAM,-,-,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Saraswati,23.98111111,72.52166667,Yes,0.0000,156.63,11-04-1976 10:00,156.677
88,Rajawal   Mokhadka,Gujarat SW GW,24,Gujarat,443,Bhavnagar,PALITANA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.58222222,71.84972222,No,0.0000,14.91,01-01-1970 06:00,14.801
89,Rajawal   Mokhadka,Gujarat SW GW,24,Gujarat,443,Bhavnagar,PALITANA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.58222222,71.84972222,No,0.0000,14.91,20-04-1970 06:00,14.801
90,Rana-Kandorana,Gujarat SW GW,24,Gujarat,456,Porbandar,RANAVAV,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.64805556,69.88805556,Yes,0.0000,59.20,08-01-1970 07:00,58.75
91,Rana-Kandorana,Gujarat SW GW,24,Gujarat,456,Porbandar,RANAVAV,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.64805556,69.88805556,Yes,0.0000,59.20,01-03-1970 09:00,58.732
92,Ranghola,Gujarat SW GW,24,Gujarat,443,Bhavnagar,UMRALA,-,-,Ambika,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Ambika,21.76500000,71.65277778,No,0,60.50,07-12-1969 22:00,63.82
93,Ranpur,Gujarat SW GW,24,Gujarat,676,Botad,Ranpur,-,-,Ozat,West flowing rivers of Kutch and Saurashtra including Luni,Uben,-,-,Uben,22.35027778,71.72055556,No,0,82.03,31-12-1969 18:00,82.05
94,Raval   Samter,Gujarat SW GW,24,Gujarat,448,Junagadh,UNA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,20.85111111,71.11750000,Yes,0.0000,19.91,23-07-1970 07:00,19.971
95,Raval   Samter,Gujarat SW GW,24,Gujarat,448,Junagadh,UNA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,20.85111111,71.11750000,Yes,0.0000,19.91,08-10-1970 16:00,20.031
96,Raval   Samter,Gujarat SW GW,24,Gujarat,448,Junagadh,UNA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,20.85111111,71.11750000,Yes,0.0000,19.91,30-10-1970 21:32,19.959
97,Rojki,Gujarat SW GW,24,Gujarat,443,Bhavnagar,MAHUVA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.22666667,71.68083333,No,0,89.87,03-10-1970 20:00,92.218
98,Rudramata dam,Gujarat SW GW,24,Gujarat,449,Kachchh,BHUJ,-,-,Luni,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Luni,23.37388889,69.71250000,No,0,54.56,31-12-1969 14:00,54.503
99,Rudramata dam,Gujarat SW GW,24,Gujarat,449,Kachchh,BHUJ,-,-,Luni,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Luni,23.37388889,69.71250000,No,0,54.56,09-01-1970 09:00,54.575
100,Rupen_Timbi,Gujarat SW GW,24,Gujarat,439,Amreli,JAFRABAD,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,20.89138889,71.20222222,No,0,20.15,11-08-1971 06:00,19.892
101,SAI SAMBHARAI,Gujarat SW GW,24,Gujarat,449,Kachchh,MANDVI,-,-,Chok,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Chok,23.00833333,69.10416667,No,0,0,07-01-1970 15:00,94.41
102,SAI SAMBHARAI,Gujarat SW GW,24,Gujarat,449,Kachchh,MANDVI,-,-,Chok,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,Chok,23.00833333,69.10416667,No,0,0,04-10-1970 07:00,94.476
103,Saraswati   Pranchi,Gujarat SW GW,24,Gujarat,448,Junagadh,SUTRAPADA,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,20.90388889,70.52611111,No,0.0000,46.01,01-10-1970 03:00,47.566
104,Saraswati_Sidhpur,Gujarat SW GW,24,Gujarat,455,Patan,SIDHPUR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.90361111,72.36694444,No,0,121.74,09-01-1970 03:00,122.116
105,Saraswati_Sidhpur,Gujarat SW GW,24,Gujarat,455,Patan,SIDHPUR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.90361111,72.36694444,No,0,121.74,10-01-1970 05:00,122.326
106,Saraswati_Sidhpur,Gujarat SW GW,24,Gujarat,455,Patan,SIDHPUR,-,-,-,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,23.90361111,72.36694444,No,0,121.74,08-10-1970 15:00,122.186
107,Shell Dedumal,Gujarat SW GW,24,Gujarat,439,Amreli,KUNDLA-SAVAR,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.30722222,71.23416667,No,0,177.20,14-10-1970 18:00,177.569
108,Shetrunji   Junasavar,Gujarat SW GW,24,Gujarat,439,Amreli,LILIA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.46194444,71.39222222,Yes,0.0000,90.00,15-01-1970 17:00,90.278
109,Shetrunji   Junasavar,Gujarat SW GW,24,Gujarat,439,Amreli,LILIA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.46194444,71.39222222,Yes,0.0000,90.00,09-10-1970 13:00,90.788
110,Shetrunji   Junasavar,Gujarat SW GW,24,Gujarat,439,Amreli,LILIA,-,-,Shetrunji,West flowing rivers of Kutch and Saurashtra including Luni,-,-,-,-,21.46194444,71.39222222,Yes,0.0000,90.00,12-05-1976 23:00,90.445
