SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
39,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,21-01-2026 12:00,-16.557
40,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,21-01-2026 18:00,-16.543
41,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,23-01-2026 12:00,-16.573
42,Abishegapakkam Ariyankuppam,Puducherry,34,Puducherry,600,Puducherry,Puducherry,Manaveli,ABISHEKAPAKKAM(M.W),-,-,-,-,-,-,11.86152500,79.78081667,,23-01-2026 18:00,-16.581
43,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,01-01-2026 00:00,-17.863
44,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,01-01-2026 06:00,-17.74
45,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,01-01-2026 12:00,-17.857
46,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,01-01-2026 18:00,-18.003
47,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,02-01-2026 00:00,-17.841
48,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,02-01-2026 06:00,-17.639
49,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,02-01-2026 12:00,-17.735
50,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,02-01-2026 18:00,-17.928
51,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,03-01-2026 00:00,-17.831
52,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,03-01-2026 06:00,-17.674
53,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,03-01-2026 12:00,-17.864
54,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,03-01-2026 18:00,-17.987
55,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,07-01-2026 00:00,-17.998
56,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,07-01-2026 06:00,-17.858
57,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,07-01-2026 12:00,-17.995
58,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,07-01-2026 18:00,-17.952
59,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,08-01-2026 00:00,-17.799
60,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,08-01-2026 06:00,-17.726
61,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,08-01-2026 12:00,-17.907
62,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,08-01-2026 18:00,-18.12
63,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,11-01-2026 00:00,-17.451
64,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,11-01-2026 06:00,-17.311
65,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,11-01-2026 12:00,-17.483
66,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,11-01-2026 18:00,-17.688
67,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,12-01-2026 00:00,-17.579
68,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,12-01-2026 06:00,-17.492
69,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,12-01-2026 12:00,-17.536
70,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,12-01-2026 18:00,-17.495
71,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,13-01-2026 00:00,-17.287
72,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,13-01-2026 06:00,-17.137
73,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,13-01-2026 12:00,-17.191
74,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,13-01-2026 18:00,-17.283
75,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,14-01-2026 00:00,-17.17
76,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,14-01-2026 06:00,-17.083
77,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,14-01-2026 12:00,-17.214
78,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,14-01-2026 18:00,-17.389
79,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,15-01-2026 00:00,-17.358
80,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,15-01-2026 06:00,-17.316
81,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,15-01-2026 12:00,-17.45
82,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,15-01-2026 18:00,-17.596
