SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Biochemical Oxygen Demand (mg/L),Chemical Oxygen Demand (mg/L),Fecal Coliform (MPN/100mL),Total Coliform (MPN/100mL)
37,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-07-2022 09:15,3.4,"",2700,24000
38,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-08-2022 09:16,0.7,"",3400,24000
39,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-08-2022 08:00,1.6,"",2700,17000
40,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,23-08-2022 09:14,2.3,"",1100,4900
41,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-09-2022 09:17,1.4,"",2700,14000
42,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,13-09-2022 09:19,1.3,"",4600,28000
43,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-09-2022 09:22,3.4,"",1100,4900
44,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-11-2022 09:00,0.8,"",3300,28000
45,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,14-11-2022 09:15,0.07,"",2200,22000
46,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-12-2022 09:10,1,"",3400,13000
47,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,03-01-2023 09:15,1.4,"",2200,160000
48,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,12-01-2023 09:15,3.6,"",2200,92000
49,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,24-01-2023 09:10,1.6,"",1700,7000
50,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-02-2023 09:13,1.6,"",3300,92000
51,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,14-02-2023 09:15,2,"",2200,92000
52,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-02-2023 09:10,1.9,"",400,680
53,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-03-2023 09:16,0.9,"",32000,220000
54,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,14-03-2023 09:15,0.4,"",6800,34000
55,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,23-03-2023 09:17,1,"",7800,49000
56,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,05-04-2023 09:00,1.2,"",140000,280000
57,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-04-2023 09:00,"","",13000,79000
58,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,24-04-2023 09:14,0.6,"",3300,92000
59,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-05-2023 09:00,1.6,"",33000,70000
60,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-05-2023 09:23,0.4,"",170,700
61,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-05-2023 09:15,6.4,"",110000,170000
62,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-06-2023 09:33,2,"",1700,4900
63,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,13-06-2023 09:00,0.8,"",140000,350000
64,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-06-2023 09:15,0.6,"",2500,480000
65,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,03-07-2023 09:17,0.1,"",1300,4700
66,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,04-07-2023 09:17,0.1,"",1300,4700
67,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-07-2023 09:15,1.7,"",79000,350000
68,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,21-07-2023 09:15,1,"",17000,21000
69,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,01-08-2023 09:15,1.2,"",49000,79000
70,AKKIHEBBAL,CWC,29,Karnataka,544,Mandya,KRISHNARAJPET,-,-,Cauvery,Cauvery,Hemavathi,-,-,Hemavathi,12.59861111,76.40055556,11-08-2023 09:10,0.2,"",17000,40000
