SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Reservoir water level (m)
81,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 08:00,415.000000
82,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 09:00,415.000000
83,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 10:00,415.000000
84,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 11:00,415.000000
85,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 12:00,415.000000
86,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 13:00,415.000000
87,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 14:00,415.000000
88,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 15:00,415.000000
89,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 16:00,415.000000
90,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 17:00,415.000000
91,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 18:00,415.000000
92,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 19:00,415.000000
93,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 20:00,415.000000
94,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 21:00,414.950012
95,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 22:00,414.950012
96,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,04-06-2021 23:00,414.950012
97,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 00:00,414.950012
98,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 01:00,414.950012
99,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 02:00,414.950012
100,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 03:00,414.950012
101,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 04:00,414.950012
102,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 05:00,414.950012
103,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 06:00,414.950012
104,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 07:00,414.950012
105,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 08:00,414.899994
106,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 09:00,414.899994
107,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 10:00,414.899994
108,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 11:00,414.899994
109,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 12:00,414.899994
110,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 13:00,414.899994
111,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 14:00,414.899994
112,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 15:00,414.899994
113,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 16:00,414.899994
114,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 17:00,414.899994
115,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 18:00,414.899994
116,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 19:00,414.950012
117,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 20:00,414.950012
118,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 21:00,414.950012
119,Bargi Reservoir,CWC,23,Madhya Pradesh,411,JABALPUR,JABALPUR,JABALPUR,Bargi,Narmada,Narmada,Narmada,Narmada,Narmada,Narmada,22.93777778,79.92083333,05-06-2021 22:00,414.950012
