SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
100,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,26-08-2021 10:00,46.6
101,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,27-08-2021 10:00,42.4
102,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,28-08-2021 10:00,9.4
103,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,06-09-2021 10:00,10.4
104,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,07-09-2021 10:00,11.2
105,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,08-09-2021 10:00,24.6
106,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,09-09-2021 10:00,2.5
107,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,16-09-2021 10:00,52
108,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,17-09-2021 10:00,2.8
109,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,19-09-2021 10:00,16
110,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,21-09-2021 10:00,29.2
111,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,22-09-2021 10:00,4.8
112,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,27-09-2021 10:00,19.4
