SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily River Water Discharge (m3/sec)
41,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,30-10-2015 08:00,550.56
42,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,06-11-2015 08:00,712.409
43,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,13-11-2015 08:00,421.214
44,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,20-11-2015 08:00,492.442
45,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,27-11-2015 08:00,304.482
46,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,04-12-2015 08:00,515.981
47,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,11-12-2015 08:00,531.904
48,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,18-12-2015 08:00,796.116
49,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,23-12-2015 08:00,593.572
50,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,31-12-2015 08:00,677.68
51,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,08-01-2016 08:00,559.24
52,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,15-01-2016 08:00,612.592
53,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,29-01-2016 08:00,635.692
54,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,05-02-2016 08:00,633.278
55,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,12-02-2016 08:00,658.818
56,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,19-02-2016 08:00,527.996
57,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,26-02-2016 08:00,585.338
58,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,04-03-2016 08:00,668.966
59,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,11-03-2016 08:00,516.025
60,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,18-03-2016 08:00,781.314
61,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,26-03-2016 08:00,504.448
62,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,08-04-2016 08:00,544.977
63,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,15-04-2016 08:00,501.794
64,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,22-04-2016 08:00,565.691
65,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,15-07-2016 08:00,525.98
66,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,22-07-2016 08:00,479.584
67,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,25-07-2016 08:00,558.919
68,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,29-07-2016 08:00,971.214
69,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41000000,72.84000000,11-11-2016 08:00,530.107
